"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63

0	0.6049038	0.0343257	0.0831940	0.7452511	0.3131727	0.5712891	0.3013684	0.0726730	0.3733400	0.2865142	0.2740396	0.2299979	0.5324512	0.1711506	0.7153385	0.0937719	0.2114591	0.0394369	0.6997254	0.5783040	0.7730190	0.5142089	0.3061606	0.5577943	0.4402498	0.2841165	0.2539343	0.1737724	0.3203257	0.1199605	0.5098044	0.0358969	0.6450150	0.0015776	0.6928931	0.0062218	0.7216977	0.0319974	0.0377002	0.0234991	0.5487353	0.4970339	0.5716821	0.6940241	0.4222054	0.0974047	0.2728133	0.2239197	0.6333835	0.5582865	0.0063616	0.0929829	0.5779969	0.7846097	0.5064641	0.4611488	0.0568964	0.1348747	0.2425652	0.3403156	0.5850176	0.2588101	0.0791755	0.4433183
5	0.6202671	0.0669958	0.1024640	0.5515512	0.4638015	0.5791026	0.2044815	0.0406014	0.2456356	0.3229566	0.2287091	0.2770043	0.4229291	0.1059018	0.6235941	0.0792141	0.1743235	0.0344176	0.6755830	0.5776765	0.7964963	0.5296072	0.2891587	0.6111640	0.4221100	0.3038561	0.2989510	0.1257639	0.2911607	0.1649838	0.4608972	0.0428855	0.6448491	0.0007042	0.7526026	0.0055369	0.6802053	0.0273596	0.0601710	0.0594939	0.4297117	0.5868104	0.4216262	0.6349756	0.5241475	0.2345463	0.3271863	0.2309516	0.6411974	0.6022418	0.0082174	0.1134384	0.5942450	0.7149744	0.5286575	0.4738978	0.0779592	0.2008690	0.1550375	0.3160841	0.4919608	0.3050451	0.0352186	0.4434912
10	0.5713215	0.0593952	0.1512112	0.7471735	0.4298639	0.4923022	0.2154904	0.0368711	0.2204394	0.2999234	0.1894517	0.3595128	0.4542873	0.1119910	0.6394310	0.0739044	0.1985098	0.0271171	0.7291490	0.5897769	0.7681408	0.4802057	0.2534990	0.4992015	0.4053129	0.3342879	0.4564904	0.0775971	0.2432429	0.1415082	0.5340539	0.0231015	0.7103169	0.0012060	0.6399059	0.0341546	0.6674642	0.0522077	0.0558003	0.1863538	0.4420627	0.6069575	0.5160649	0.7977371	0.4548051	0.1379072	0.3466064	0.1983824	0.6173778	0.5968228	0.0067541	0.1297300	0.4740206	0.6559670	0.6765696	0.3944186	0.0427584	0.1749931	0.1402982	0.3217851	0.6136828	0.2959846	0.0696413	0.3972397
15	0.7815390	0.0390856	0.1504740	0.6010693	0.4322858	0.5522994	0.2621096	0.0527935	0.2109294	0.3635975	0.1932319	0.2363069	0.4362059	0.1019358	0.6249706	0.0611570	0.1955764	0.0266612	0.6470662	0.4910888	0.6887983	0.5305264	0.3115403	0.5578251	0.4227012	0.2785591	0.3367448	0.1001014	0.2279649	0.1288075	0.4552019	0.0101452	0.5665125	0.0001024	0.7379623	0.0032711	0.6458061	0.0383457	0.0579747	0.1109228	0.5058423	0.5675619	0.5710812	0.6452825	0.4738848	0.1176867	0.2909187	0.2811506	0.5544500	0.5690693	0.0069161	0.0930108	0.4476402	0.7497477	0.6743676	0.3587358	0.0344982	0.1059652	0.1227308	0.2768925	0.5790855	0.2073662	0.0264687	0.4826570
20	0.6259836	0.0614885	0.1711516	0.6047453	0.4839917	0.6048064	0.2158844	0.0334731	0.2586383	0.3818079	0.2146943	0.2731281	0.3973484	0.1538459	0.6954250	0.0842107	0.1641767	0.0280462	0.6178629	0.5496540	0.7366690	0.6527503	0.2941289	0.6059071	0.3941855	0.3847324	0.3753874	0.1004301	0.2095474	0.0880574	0.3524202	0.0223651	0.5646235	0.0003666	0.6990053	0.0275545	0.8538335	0.0261529	0.0379129	0.1480464	0.4985397	0.7248294	0.4218479	0.6849456	0.4614378	0.1309638	0.2978868	0.2528370	0.5480437	0.6240868	0.0130501	0.0970740	0.3458757	0.7067730	0.7399259	0.3826343	0.0521287	0.1425460	0.1409260	0.3442798	0.5259382	0.0984424	0.0279763	0.4071060
25	0.6270653	0.0469674	0.1779894	0.6237717	0.4808493	0.5442677	0.2460904	0.0728929	0.1773948	0.3239687	0.2530164	0.3365981	0.5032100	0.0890441	0.6153872	0.0946308	0.1809823	0.0487239	0.6397741	0.5800193	0.7355534	0.6275161	0.2791287	0.6336086	0.3574864	0.3132907	0.4365369	0.1203686	0.2152262	0.0838136	0.4851520	0.0140473	0.4944152	0.0003404	0.7246661	0.0044190	0.5324266	0.0319237	0.0317158	0.1713579	0.5655089	0.6744527	0.3577388	0.6538120	0.4067499	0.1564822	0.2956125	0.1577681	0.5867017	0.7195548	0.0027728	0.1109031	0.3726246	0.6738686	0.7039543	0.3391426	0.0403431	0.1589590	0.1557097	0.2745810	0.4663172	0.2054079	0.0325032	0.4238318
30	0.6676250	0.0647840	0.2135928	0.5838715	0.6127200	0.5557869	0.2927521	0.0838910	0.1998079	0.2889508	0.2566953	0.2699229	0.4371636	0.0997505	0.6207095	0.0932208	0.1606725	0.0612755	0.5613473	0.5177969	0.6364519	0.5200955	0.3027163	0.5225429	0.4111654	0.3203613	0.5471188	0.0772012	0.1252777	0.0945770	0.4342755	0.0178896	0.5299074	0.0029665	0.6034698	0.0094744	0.6635605	0.0198306	0.0341925	0.1998259	0.4237654	0.6966614	0.4544306	0.7191065	0.4611382	0.1169593	0.3412867	0.2955923	0.5782521	0.5193842	0.0039472	0.0988726	0.3159018	0.7178700	0.7580842	0.3107775	0.0389887	0.1464889	0.0765987	0.3817970	0.5826444	0.1538644	0.0285249	0.4501213
35	0.7191473	0.0492106	0.1741121	0.6663028	0.4851266	0.6092279	0.2357022	0.0655911	0.1762173	0.3811392	0.2272052	0.3025068	0.3986859	0.0995476	0.6574909	0.1056028	0.2093652	0.0235105	0.4848712	0.5235466	0.6450794	0.5473835	0.2823284	0.6021873	0.5094182	0.3419107	0.4062094	0.0955845	0.1203590	0.1226645	0.4735576	0.0147770	0.4450199	0.0002668	0.7098578	0.0080687	0.7189763	0.0369582	0.0233201	0.3127360	0.5282250	0.5934246	0.4507571	0.8050130	0.4591226	0.1532300	0.2654488	0.2814336	0.4766460	0.5121524	0.0051295	0.1257218	0.2703226	0.6595506	0.6204555	0.2089462	0.0512526	0.1044540	0.1072828	0.2879656	0.6668596	0.1575557	0.0103830	0.5341391
40	0.7695582	0.0556201	0.1706966	0.6834419	0.4680823	0.5564989	0.1993160	0.0739961	0.2018456	0.3196410	0.2498658	0.3131906	0.3658659	0.0872609	0.5988404	0.1186972	0.1693596	0.0308750	0.6378358	0.6389467	0.6824326	0.5921782	0.3318262	0.5994407	0.4407632	0.2722169	0.5745607	0.0605731	0.1619830	0.0953474	0.3942215	0.0334936	0.4636923	0.0008214	0.5759490	0.0171042	0.5819048	0.0122538	0.0328607	0.3269742	0.5624411	0.5891785	0.4398758	0.6523720	0.3935866	0.1256002	0.3188889	0.2266924	0.4860496	0.5528217	0.0031809	0.1320451	0.1695570	0.6812282	0.6545865	0.2555665	0.0324980	0.1597786	0.0757243	0.2581252	0.6052192	0.1296957	0.0147482	0.4812903
