"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63

0	0.8326636	0.0376878	0.1224511	0.6944043	0.3058545	0.6220401	0.3432139	0.1211673	0.2266782	0.2981448	0.2480963	0.3211370	0.4713199	0.0763658	0.6601787	0.1122168	0.1309325	0.0434846	0.6246923	0.5984045	0.6833355	0.3811566	0.2838571	0.5710596	0.3965571	0.3914338	0.2735237	0.1998745	0.3099933	0.1553666	0.4390643	0.0251348	0.6474203	0.0003658	0.7007437	0.0075585	0.7257247	0.0140206	0.0342676	0.0183947	0.5059931	0.4674847	0.5160679	0.6591706	0.4860095	0.0930860	0.2175067	0.1633929	0.6499187	0.5992082	0.0033248	0.1367561	0.5942335	0.7424049	0.5911498	0.5199985	0.0182793	0.1368678	0.1957315	0.2804622	0.4617215	0.2757605	0.0355486	0.4482971
5	0.6027096	0.0334862	0.1075870	0.5613499	0.3950319	0.5157047	0.2855034	0.0372371	0.2062088	0.3671081	0.1910616	0.2275405	0.4037091	0.1004523	0.6206630	0.1316024	0.1358222	0.0275805	0.5750577	0.5252907	0.5862485	0.4480589	0.3356761	0.5251256	0.3581636	0.4046236	0.2695486	0.1193412	0.4221813	0.1801827	0.3714339	0.0135093	0.6729131	0.0016117	0.5634472	0.0234855	0.6703435	0.0346620	0.0339820	0.0126971	0.5526787	0.5355981	0.4318077	0.6656514	0.5636550	0.0640410	0.4650312	0.3218811	0.5954911	0.5600868	0.0048710	0.1307032	0.6557234	0.5817749	0.6205418	0.3963744	0.0476358	0.0839519	0.1458398	0.3372269	0.4784333	0.2682370	0.0597206	0.5834751
10	0.5739604	0.0442537	0.1051098	0.6147553	0.3471048	0.6766910	0.2930009	0.0585234	0.2066667	0.3246841	0.2766925	0.2220686	0.4961776	0.1170148	0.7078723	0.1321306	0.1979065	0.0232388	0.6521141	0.5805454	0.7084471	0.5845336	0.3321975	0.6241304	0.3667620	0.4967519	0.2592716	0.1232028	0.3822201	0.1616367	0.3519029	0.0275986	0.7605278	0.0116714	0.6158014	0.0117837	0.7000037	0.0158874	0.0450753	0.0292229	0.4791591	0.4919852	0.4487781	0.7028629	0.5637170	0.0607558	0.4080310	0.2564138	0.6156772	0.6472470	0.0029031	0.1218471	0.5502538	0.5919498	0.5911064	0.5614282	0.0655422	0.1177376	0.1781524	0.3492436	0.5284885	0.2868719	0.0687449	0.4736287
15	0.4667108	0.0309138	0.1178609	0.5746686	0.3139918	0.6338809	0.2888117	0.0392380	0.2011003	0.3663989	0.2030088	0.1937604	0.3804963	0.0845728	0.6976265	0.1169100	0.2269522	0.0252822	0.5457867	0.5738862	0.6049927	0.4973569	0.3342721	0.5417247	0.4126740	0.4751314	0.2350058	0.1226647	0.3156749	0.1528353	0.5458862	0.0202642	0.5687179	0.0034424	0.6192459	0.0075652	0.7025064	0.0085158	0.0557254	0.0492645	0.5195918	0.4720531	0.4627304	0.5724598	0.6256110	0.0776689	0.4424389	0.3003710	0.5509195	0.7040112	0.0030711	0.1052624	0.6284310	0.6388681	0.4905466	0.3953566	0.0377171	0.1107301	0.1834115	0.3089138	0.4947749	0.3559352	0.0655634	0.4800275
20	0.3868133	0.0517910	0.1047439	0.6331244	0.2487894	0.6030560	0.2988332	0.0480214	0.2042685	0.3300288	0.2157845	0.2296560	0.4183652	0.0902146	0.7169677	0.1667131	0.1690375	0.0183886	0.6306321	0.5176920	0.6073219	0.5238318	0.2494357	0.5266211	0.3805550	0.5372131	0.2935966	0.1340501	0.4006128	0.1480730	0.4314100	0.0195881	0.6641913	0.0011722	0.6678757	0.0106579	0.7361078	0.0046569	0.0621329	0.0287143	0.5306073	0.5935722	0.4681650	0.6301793	0.5977318	0.0802393	0.3905247	0.2225335	0.6056043	0.5746540	0.0028562	0.1539847	0.6666135	0.6492407	0.5406421	0.5296923	0.0941467	0.1291939	0.1331147	0.3051287	0.4736167	0.2473045	0.0632030	0.4834434
25	0.3312223	0.0539722	0.0984344	0.6636313	0.3357109	0.6285531	0.2820746	0.0582224	0.2288655	0.3167605	0.2233316	0.2109594	0.4416423	0.0651016	0.8216882	0.1192000	0.1562761	0.0414734	0.5722699	0.4906430	0.6470513	0.5763111	0.3016504	0.5517724	0.4171585	0.4351564	0.2523014	0.1273794	0.3551777	0.1688939	0.3564012	0.0356749	0.6038614	0.0007156	0.6343839	0.0110909	0.7112421	0.0178211	0.0314908	0.0134401	0.4996476	0.5237215	0.4197707	0.7039188	0.4887257	0.1163262	0.3933026	0.1977692	0.5818788	0.6406077	0.0059051	0.1508839	0.6705618	0.6300796	0.5641322	0.5273282	0.0643842	0.1126847	0.1691528	0.2793592	0.4016569	0.3346673	0.0729365	0.6272239
30	0.3261697	0.0528556	0.1435398	0.5741749	0.3377511	0.5225004	0.2637821	0.0582153	0.2517100	0.3239235	0.1881164	0.2033068	0.4823750	0.1261524	0.5492340	0.1823703	0.1658944	0.0180101	0.6179437	0.6167751	0.5624606	0.5811301	0.2578869	0.5395349	0.4093502	0.4238612	0.2554795	0.1231840	0.3124217	0.0979623	0.3699999	0.0156286	0.7212270	0.0002254	0.7009997	0.0088156	0.6995623	0.0374271	0.0680096	0.0401265	0.5338309	0.5486479	0.4364989	0.6713273	0.5287762	0.0891888	0.3540938	0.2462238	0.5538631	0.5744305	0.0038465	0.1590729	0.5529524	0.6831279	0.5530375	0.5469397	0.0517600	0.1926859	0.1577100	0.3652263	0.5041349	0.3791470	0.0821777	0.5506104
35	0.2356645	0.0450685	0.0968340	0.5963264	0.2350913	0.5163247	0.2994382	0.0663578	0.2230863	0.3172436	0.2675307	0.2428129	0.4772688	0.1283634	0.5348867	0.0997457	0.2066907	0.0166532	0.6689226	0.6239834	0.6421217	0.4358938	0.3266240	0.5085037	0.4115856	0.3616612	0.2713019	0.1235645	0.3666500	0.1469602	0.3267754	0.0215774	0.6349109	0.0000086	0.6748585	0.0248089	0.8718355	0.0108605	0.0495575	0.0507299	0.4905394	0.6034489	0.4133610	0.6412990	0.4078202	0.0663862	0.4236866	0.3502221	0.6992630	0.5576376	0.0089371	0.1490732	0.6175436	0.6371513	0.5576143	0.4663725	0.0784594	0.1956030	0.1370564	0.3379200	0.4705969	0.3552145	0.0677118	0.4725224
40	0.2943096	0.0615222	0.1194771	0.6307695	0.2636976	0.6529261	0.3658708	0.0729823	0.2551198	0.2798551	0.2800276	0.1991882	0.4195274	0.1439495	0.5165468	0.1093011	0.1857678	0.0207706	0.6845767	0.7135655	0.5183545	0.5297645	0.3433831	0.4811677	0.3676154	0.4599117	0.1804766	0.1816098	0.4136523	0.1534963	0.4637991	0.0274785	0.7244226	0.0007314	0.7464536	0.0067512	0.6335195	0.0065751	0.0428303	0.0319718	0.4762976	0.5870062	0.3867842	0.5802135	0.4273905	0.0709859	0.3632404	0.2552929	0.5734620	0.5276180	0.0076681	0.1688590	0.5820636	0.7050482	0.5799186	0.4055542	0.0565690	0.1265582	0.1488749	0.3417825	0.3951191	0.4027788	0.0838000	0.4884465
