"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63

0	0.9911307	0.0658409	0.1494743	0.9675341	0.5001965	0.8535966	0.4025651	0.1063909	0.3387085	0.4750015	0.3707426	0.3936650	0.6624272	0.1415748	1.0500037	0.1650658	0.1987426	0.0560573	0.9271960	0.8471493	1.0521986	0.6237370	0.4819791	0.8725703	0.6240703	0.5672331	0.3683804	0.2333716	0.4646117	0.2402441	0.6616814	0.0415229	1.0339249	0.0014548	1.0038787	0.0100799	0.9991975	0.0396441	0.0457775	0.0433773	0.7941585	0.7953438	0.7128120	1.0262491	0.7209468	0.1772090	0.4059547	0.3140211	0.8624540	0.8936878	0.0046311	0.1830016	0.9287067	1.0294077	0.8135084	0.7356539	0.0675834	0.1939063	0.2698122	0.4010931	0.7504269	0.4151395	0.0798763	0.7108215
5	0.9621442	0.0756238	0.1765419	0.9137377	0.5660794	0.8126995	0.3480773	0.0653284	0.3157750	0.5040550	0.3647761	0.3628863	0.6180514	0.1470347	0.9602088	0.1215514	0.2254077	0.0445724	0.9252224	0.8188590	1.0215481	0.7036537	0.4245803	0.8754715	0.5941089	0.5150333	0.5158254	0.2155568	0.4014907	0.2462334	0.6593533	0.0313863	0.8925424	0.0011086	1.0421342	0.0115167	1.0192027	0.0485326	0.0706623	0.1072936	0.7518307	0.8691404	0.6788349	1.0544987	0.7003339	0.2085416	0.5538101	0.3586784	0.9471361	0.9342578	0.0089684	0.1670872	0.7826160	1.0146968	0.8913472	0.6560410	0.0789846	0.2370902	0.2544462	0.4394303	0.7746629	0.3848579	0.0706946	0.6529818
10	0.9416963	0.0743275	0.2000669	0.9266217	0.6331478	0.8364413	0.3629361	0.0694912	0.2986850	0.4956605	0.3552113	0.4120464	0.6217454	0.1440697	0.9600961	0.1200481	0.2372105	0.0487378	0.9353757	0.8353369	1.0383758	0.7730954	0.4208335	0.8592871	0.5914356	0.5020588	0.5601817	0.1853742	0.3624223	0.2191448	0.6877636	0.0341620	0.8698141	0.0007380	1.0221877	0.0083926	1.0440580	0.0443224	0.0650360	0.1626783	0.7607834	0.8993438	0.6824182	1.0380508	0.7116270	0.2091144	0.5354765	0.3410901	0.8963750	0.9260193	0.0064543	0.1804943	0.6720837	1.0298588	0.8888511	0.5906478	0.0862320	0.2196608	0.2395829	0.4618848	0.7711490	0.3318349	0.0524200	0.6516059
15	0.9249832	0.0697896	0.2317598	0.9447809	0.6646608	0.8347332	0.3460310	0.0721226	0.3026797	0.4748964	0.3630051	0.4091585	0.6193699	0.1485744	0.9545174	0.1196654	0.2435728	0.0499918	0.9513946	0.8238520	1.0339913	0.8505544	0.4065602	0.8295490	0.6022360	0.5323884	0.5535263	0.1623251	0.3276828	0.1833869	0.6841036	0.0264457	0.8294107	0.0003250	0.9785949	0.0092154	1.0612953	0.0460540	0.0697398	0.1964205	0.7512434	0.9218912	0.6915241	1.0826335	0.7035320	0.2141686	0.4983146	0.3562298	0.8838772	0.9209530	0.0076794	0.1823612	0.5953096	1.0106507	0.9215184	0.5535349	0.0790482	0.2041395	0.2170035	0.4249552	0.7932361	0.2822161	0.0390174	0.6504538
20	0.9250735	0.0791936	0.2510337	0.9395125	0.7294419	0.8661053	0.3439616	0.0820603	0.3290005	0.4860548	0.3422092	0.4268186	0.6112722	0.1524531	0.9560635	0.1169949	0.2534989	0.0507594	0.9540774	0.8498261	1.0441814	0.8546493	0.4211277	0.7918649	0.5899247	0.5176202	0.5858754	0.1449837	0.2956863	0.1587043	0.6719096	0.0239853	0.8114791	0.0016280	1.0240931	0.0096426	1.0351742	0.0431236	0.0650051	0.2523303	0.7194828	0.9394635	0.6889245	1.0513960	0.6826245	0.2055966	0.4774274	0.3405154	0.8685584	0.9173546	0.0042701	0.1780525	0.5296280	1.0205950	0.9447798	0.5208901	0.0690519	0.2156376	0.1983643	0.4263573	0.8455706	0.2404946	0.0339267	0.6499950
25	0.9699408	0.0796347	0.2752762	0.9192254	0.8172479	0.8444599	0.3381447	0.0793159	0.3021208	0.4729919	0.3396481	0.4319042	0.6084637	0.1497911	0.9408822	0.1361341	0.2671825	0.0576906	0.9127450	0.8704069	1.0508219	0.8467707	0.4346246	0.8299916	0.6044056	0.4891317	0.6183059	0.1247307	0.2674686	0.1361628	0.6958852	0.0292425	0.7776642	0.0011210	1.0165821	0.0066657	1.0040890	0.0326881	0.0635006	0.2893291	0.6902757	0.9804546	0.6652568	1.0649569	0.6973368	0.2013621	0.4786618	0.3140116	0.8081267	0.9032348	0.0028032	0.1942842	0.4710294	1.0155057	0.9615358	0.4792522	0.0640589	0.2084586	0.1732408	0.4501778	0.8405429	0.2273710	0.0222104	0.6803194
30	0.9877817	0.0839984	0.2968945	0.9081954	0.8013869	0.8242298	0.3423766	0.0719453	0.2873210	0.4823770	0.3656746	0.4295561	0.6129891	0.1394649	0.9441142	0.1344633	0.2578362	0.0535672	0.8329899	0.8652210	1.0299939	0.7920517	0.4274809	0.8504026	0.5944697	0.4606438	0.6662328	0.1075520	0.2384214	0.1264211	0.6236391	0.0268296	0.7855751	0.0017040	1.0049488	0.0076498	0.9988650	0.0236668	0.0621352	0.3480431	0.6885264	0.9979573	0.6249180	1.0173288	0.7065177	0.2101831	0.4680453	0.3433573	0.7735970	0.8949564	0.0033889	0.1852123	0.4205830	1.0206698	0.9941187	0.4312348	0.0703735	0.2057089	0.1450941	0.4680801	0.9008420	0.2075846	0.0191649	0.6687670
35	0.9832220	0.0889869	0.2992334	0.9295777	0.8164743	0.8463366	0.3482794	0.0820154	0.2982237	0.4763912	0.3759323	0.4235063	0.6059542	0.1326702	0.9328997	0.1312728	0.2503161	0.0500201	0.8013481	0.8445171	0.9872660	0.8123834	0.4237985	0.8764961	0.6109757	0.4408737	0.6506520	0.1035370	0.1993827	0.1155483	0.6164273	0.0251849	0.7400029	0.0005415	1.0239666	0.0064157	0.9990965	0.0297459	0.0546599	0.3946233	0.7382390	0.9630186	0.6699859	1.0242292	0.7374479	0.2027702	0.4485516	0.3322562	0.7620910	0.9001493	0.0038982	0.1825462	0.3694585	0.9779827	0.9973233	0.3955973	0.0665358	0.2004652	0.1370013	0.4613245	0.9052359	0.1869862	0.0198221	0.7110017
40	1.0395977	0.0833703	0.2928516	0.9510940	0.8447731	0.8581892	0.3299860	0.0823059	0.3012316	0.4777748	0.3701148	0.4222723	0.5915430	0.1457914	0.9139629	0.1231158	0.2434218	0.0541137	0.9161676	0.8460024	0.9884344	0.8692241	0.4274852	0.8260847	0.6231611	0.4257594	0.6825989	0.0822916	0.1902393	0.1033713	0.5981906	0.0284531	0.6831738	0.0012605	1.0047782	0.0111456	1.0038548	0.0299888	0.0543897	0.4127231	0.8088126	0.9624180	0.7070974	1.0018851	0.7342182	0.2044723	0.4665846	0.2785395	0.7274600	0.8737296	0.0033859	0.1807090	0.3215360	0.9852091	0.9593215	0.3674883	0.0615881	0.1977355	0.1232352	0.4834353	0.9159461	0.1583934	0.0178171	0.7003142
45	1.0322809	0.0797266	0.3071982	0.9622851	0.8469882	0.8405802	0.3458311	0.0972303	0.3141094	0.4526281	0.3466302	0.3963264	0.5608538	0.1378831	0.8667168	0.1322424	0.2322184	0.0530377	0.9300701	0.8163192	0.9706067	0.9056864	0.4435248	0.8120874	0.6240670	0.4098893	0.6846935	0.0738095	0.1733037	0.0991936	0.5627466	0.0307182	0.6616109	0.0011921	0.9771570	0.0119194	0.9939286	0.0348180	0.0686669	0.4189730	0.8259451	0.9645805	0.6822408	0.9687583	0.7389754	0.1937850	0.4583742	0.2677214	0.7326363	0.8910211	0.0024921	0.1853605	0.2940558	0.9900004	0.9751921	0.3167910	0.0579361	0.2060078	0.1069063	0.4713113	0.8842051	0.1461129	0.0140303	0.7050155
50	0.9962082	0.0712226	0.3025662	0.9630195	0.8307680	0.8794566	0.3788199	0.0823402	0.3144893	0.4707890	0.3580653	0.3769966	0.5713445	0.1293534	0.8646144	0.1407483	0.2464157	0.0525795	0.9079517	0.8665895	0.9648359	0.9039039	0.4217199	0.8120248	0.6242407	0.3985451	0.7089280	0.0773964	0.1571182	0.1087206	0.6010396	0.0400868	0.6165548	0.0012640	0.9716209	0.0137660	0.9727430	0.0345935	0.0960626	0.4390991	0.8283395	0.9454994	0.6913504	0.9517708	0.7727315	0.1932331	0.4398624	0.2562286	0.7168838	0.8726621	0.0025897	0.1943954	0.2620286	0.9889342	0.9697788	0.2760766	0.0627051	0.2010274	0.1062814	0.4451848	0.8955292	0.1399337	0.0127206	0.6895952
55	0.9973535	0.0643813	0.2928469	0.9900561	0.7057362	0.8535396	0.3910854	0.0767618	0.3147504	0.4840241	0.3361137	0.3544273	0.5528837	0.1324492	0.8728897	0.1557919	0.2471901	0.0568244	0.8919740	0.8607110	0.9775713	0.8648112	0.4459574	0.8029604	0.6206126	0.3744415	0.6771488	0.1009200	0.1767483	0.1404826	0.6103669	0.0417363	0.6747616	0.0029772	0.9523469	0.0137295	0.9327303	0.0302706	0.1264497	0.4024402	0.8171139	0.9386230	0.6750462	0.9839982	0.7584048	0.2035407	0.4076787	0.2574595	0.7299628	0.8470329	0.0058476	0.1810934	0.3676575	0.9635175	0.9681354	0.3147713	0.0685017	0.1865975	0.1296602	0.4550869	0.8680255	0.1683226	0.0415057	0.6998257
60	0.9953964	0.0643928	0.2955137	1.0035392	0.6532269	0.8513781	0.4149779	0.0620622	0.3020577	0.4802464	0.3597067	0.3106303	0.5619067	0.1545220	0.8864579	0.1541858	0.2453896	0.0574972	0.9134594	0.8708339	1.0083990	0.8623878	0.4447058	0.8215459	0.5964850	0.4193333	0.6492581	0.1023797	0.1981573	0.1775100	0.5817151	0.0506608	0.7108170	0.0024973	0.9397838	0.0169610	0.9153202	0.0344630	0.1467707	0.3795101	0.8099048	0.8989642	0.6283506	1.0369862	0.7566695	0.1855032	0.4316848	0.2298943	0.7137689	0.8542476	0.0050571	0.1795689	0.4139500	1.0126722	0.9531034	0.3290562	0.0773297	0.1917404	0.1388988	0.4508738	0.8239705	0.2226431	0.0583622	0.7202956
65	1.0227373	0.0719262	0.2831160	0.9847559	0.6158890	0.8102138	0.4591040	0.0652707	0.3137974	0.4982510	0.3283914	0.3248315	0.5636572	0.1517186	0.8769996	0.1332146	0.2603766	0.0583824	0.8842815	0.8618141	0.9402368	0.7980948	0.4379252	0.8184758	0.6095816	0.4101138	0.6189200	0.1174365	0.2199504	0.2164993	0.6355098	0.0479697	0.7697986	0.0030597	0.9010142	0.0140373	0.9016272	0.0396109	0.1324370	0.3553147	0.8321580	0.8964589	0.6623534	1.0053563	0.7293012	0.1962092	0.4439270	0.2452104	0.7344949	0.8918476	0.0045135	0.1774897	0.4929254	0.9998825	0.9341390	0.3690350	0.0921531	0.1726354	0.1416324	0.4728993	0.8018775	0.2907257	0.0943254	0.7072910
70	0.9635199	0.0627344	0.2700897	0.9796304	0.5772208	0.8064863	0.4395087	0.0554355	0.3247779	0.4981702	0.3321013	0.2927381	0.5647487	0.1712364	0.9060728	0.1285443	0.2400487	0.0557277	0.8703579	0.8581065	0.9490083	0.7653174	0.4127842	0.7895655	0.6224179	0.4187189	0.6165236	0.1255968	0.2469119	0.2536359	0.6439241	0.0478843	0.7755725	0.0039772	0.9060970	0.0108051	0.8974095	0.0391977	0.1396437	0.3360348	0.8162069	0.8739652	0.6773349	0.9856183	0.7095182	0.2064968	0.5099493	0.2331713	0.7599789	0.8719971	0.0054015	0.1709409	0.5685692	1.0033137	0.9210078	0.4076101	0.0745581	0.1802842	0.1513407	0.4671932	0.7719543	0.3457979	0.0865676	0.6847942
75	0.9457254	0.0593801	0.2557262	0.9902021	0.5604563	0.7938817	0.4446330	0.0635771	0.3350994	0.5117712	0.3796646	0.2888705	0.5514134	0.1816255	0.9086430	0.1298290	0.2525736	0.0559881	0.9051420	0.9030002	0.9572389	0.7234811	0.3890142	0.8113861	0.6411800	0.4361376	0.5939225	0.1411709	0.2479018	0.2434565	0.6283003	0.0463068	0.8274313	0.0065428	0.9231751	0.0101018	0.9074514	0.0381442	0.1258584	0.3273906	0.7918134	0.8467372	0.6887260	0.9732331	0.7187745	0.2080377	0.4841408	0.2241048	0.7489503	0.8944441	0.0075186	0.1645825	0.6561630	0.9710193	0.8945461	0.4097110	0.0811249	0.1747277	0.1665951	0.4693991	0.7558119	0.3616768	0.0874430	0.6637864
80	0.9803787	0.0579754	0.2506391	0.9580917	0.5084994	0.8309502	0.4407716	0.0685072	0.3074732	0.5146894	0.3838077	0.3042265	0.5395319	0.1894219	0.9141132	0.1375796	0.2571591	0.0505750	0.9380241	0.8752827	0.9472914	0.7273769	0.3871933	0.8642796	0.6602181	0.4566355	0.5706863	0.1526655	0.2743157	0.2569079	0.6322489	0.0497870	0.8092765	0.0062677	0.9609740	0.0107181	0.8942649	0.0389804	0.1366834	0.2908357	0.8069193	0.8641070	0.6756812	0.9710731	0.7238945	0.2187658	0.4654957	0.2499296	0.7795541	0.8989146	0.0064095	0.1724301	0.6843588	0.9470916	0.8958348	0.4207054	0.0761972	0.1715948	0.1796156	0.4806879	0.7113448	0.4140310	0.0978507	0.6730458
85	1.0131007	0.0568486	0.2329384	0.9718621	0.4870541	0.8252245	0.4394848	0.0671954	0.3105819	0.5230519	0.3634580	0.3032430	0.5254114	0.1947901	0.8955049	0.1232516	0.2480025	0.0537697	0.9319104	0.8715348	0.9549376	0.6692747	0.3634522	0.8592376	0.6688138	0.4740822	0.5586419	0.1286910	0.2853001	0.2969956	0.6186677	0.0506137	0.7981709	0.0072761	0.9869005	0.0096290	0.9212637	0.0390445	0.1389058	0.2668738	0.7636377	0.8728860	0.6636264	1.0025489	0.7032821	0.1960986	0.5074924	0.2587738	0.8162314	0.8900129	0.0066044	0.1628308	0.6738471	0.9669051	0.8918608	0.4627008	0.0771139	0.1834554	0.1966004	0.4851780	0.6650442	0.3911982	0.0935941	0.6586028
