"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63

0	0.9911307	0.0658409	0.1494743	0.9675341	0.5001965	0.8535966	0.4025651	0.1063909	0.3387085	0.4750015	0.3707426	0.3936650	0.6624272	0.1415748	1.0500037	0.1650658	0.1987426	0.0560573	0.9271960	0.8471493	1.0521986	0.6237370	0.4819791	0.8725703	0.6240703	0.5672331	0.3683804	0.2333716	0.4646117	0.2402441	0.6616814	0.0415229	1.0339249	0.0014548	1.0038787	0.0100799	0.9991975	0.0396441	0.0457775	0.0433773	0.7941585	0.7953438	0.7128120	1.0262491	0.7209468	0.1772090	0.4059547	0.3140211	0.8624540	0.8936878	0.0046311	0.1830016	0.9287067	1.0294077	0.8135084	0.7356539	0.0675834	0.1939063	0.2698122	0.4010931	0.7504269	0.4151395	0.0798763	0.7108215
5	0.9268131	0.0590471	0.1751803	0.9096654	0.4667479	0.8242723	0.4048346	0.0747045	0.3430968	0.4581612	0.3200301	0.3169938	0.6072897	0.1680172	0.9810778	0.1940840	0.2390377	0.0360272	0.8895705	0.7907018	0.8971476	0.7059881	0.4560928	0.8840782	0.5917750	0.6550321	0.4011474	0.1944355	0.5081547	0.2101744	0.6301352	0.0208706	0.9180327	0.0018219	1.0046428	0.0108165	1.0411184	0.0267488	0.0511576	0.0408323	0.8463280	0.8086491	0.6809974	0.9682026	0.7752986	0.1065983	0.5545460	0.4264392	0.8454337	0.8990447	0.0076204	0.1836696	0.9067114	0.9094192	0.8616661	0.6680309	0.0749917	0.1471199	0.2812091	0.5108430	0.6875225	0.4485810	0.0893297	0.7421134
10	0.7997029	0.0594060	0.1723033	0.9144896	0.4705505	0.8760873	0.4148670	0.0691780	0.3334031	0.4402505	0.3197727	0.3103913	0.6218486	0.1613913	1.0039959	0.1736314	0.2501887	0.0354706	0.8834087	0.7912074	0.8813873	0.7263569	0.4694276	0.8584355	0.5984987	0.6915246	0.3923618	0.1972226	0.5195932	0.2177275	0.5899780	0.0270169	0.9268197	0.0017608	1.0217296	0.0113577	1.0390805	0.0276494	0.0559498	0.0385949	0.8164555	0.7916302	0.6721934	0.9503032	0.7857828	0.1193984	0.5779727	0.4355002	0.8690947	0.8903116	0.0071631	0.1726941	0.9231293	0.9287727	0.8457442	0.6859379	0.0841620	0.1628803	0.2624712	0.5152876	0.7186995	0.4590961	0.1026538	0.7176628
15	0.6503333	0.0630436	0.1679946	0.9419588	0.4501528	0.8930484	0.4106093	0.0744380	0.3199889	0.4490778	0.3069418	0.3165382	0.6353053	0.1712708	0.9450811	0.1697782	0.2366533	0.0346922	0.8377336	0.7948343	0.9098573	0.6991692	0.4806322	0.8762683	0.6034447	0.6855782	0.3654628	0.1936207	0.5145075	0.2113768	0.6157185	0.0305288	0.9450948	0.0015212	1.0013090	0.0136464	1.0704325	0.0266620	0.0541524	0.0466875	0.7948127	0.7843510	0.6700472	0.9558057	0.8039280	0.1284863	0.5162308	0.4229378	0.8494088	0.8796714	0.0060967	0.1936843	0.9303415	0.9529113	0.8565584	0.6610472	0.0775867	0.1687402	0.2688876	0.5076414	0.7241600	0.4477714	0.0909615	0.7163058
20	0.5592439	0.0662430	0.1578549	0.9026024	0.4351033	0.8881898	0.4061266	0.0863929	0.3299695	0.4435782	0.2899079	0.3037744	0.6441677	0.1621186	0.9767775	0.1786790	0.2189915	0.0377351	0.8715048	0.8015126	0.9013617	0.7508710	0.4667164	0.8807828	0.5820041	0.6529570	0.3572641	0.1969085	0.5195814	0.2005045	0.6341743	0.0288169	0.9616662	0.0008932	0.9725447	0.0135052	1.0385562	0.0299190	0.0499929	0.0478784	0.7910674	0.8239974	0.6421725	0.9542864	0.7858548	0.1396934	0.5405559	0.4130816	0.8864712	0.9012047	0.0057660	0.2237106	0.9614055	0.9647321	0.8676602	0.6735573	0.0852833	0.1807647	0.2718063	0.4837277	0.7249232	0.4692805	0.0812451	0.6935225
25	0.4958755	0.0666879	0.1724815	0.9342173	0.4402461	0.8803335	0.4274598	0.0823991	0.3449136	0.4855393	0.2895581	0.3293526	0.6497660	0.1689034	0.9669829	0.1889281	0.2366572	0.0408811	0.9317547	0.7928308	0.9079506	0.7514809	0.4468019	0.8778413	0.5880072	0.6626115	0.3572385	0.1799511	0.5152550	0.1777613	0.5833026	0.0304159	0.9182083	0.0007570	0.9807046	0.0149181	1.0323866	0.0252832	0.0546128	0.0461676	0.7783989	0.8415826	0.6575833	0.9877827	0.8009743	0.1451599	0.5337836	0.3910952	0.8788864	0.8746822	0.0106552	0.2224489	0.9662491	0.9452181	0.8881347	0.6835951	0.0937999	0.1959868	0.2702925	0.4785656	0.7085720	0.4647088	0.0989792	0.7147690
30	0.4528982	0.0701085	0.1823958	0.9281517	0.4469556	0.8634001	0.4363105	0.0876798	0.3505525	0.4754490	0.3220611	0.3410297	0.6651004	0.1735625	0.9337156	0.1921796	0.2284931	0.0457841	0.8853630	0.7976821	0.9224656	0.7307360	0.4324449	0.8508732	0.5947128	0.6589510	0.3850278	0.1919390	0.5031811	0.1765545	0.5734149	0.0283072	0.9356718	0.0002737	0.9737221	0.0152947	1.0304181	0.0298842	0.0623772	0.0617107	0.7662465	0.8156454	0.6225178	0.9851893	0.7701588	0.1423220	0.5380474	0.3752728	0.8852249	0.8640408	0.0106683	0.2160082	0.9568890	0.9569971	0.8981328	0.7053345	0.0885148	0.2172258	0.2629168	0.4788865	0.7136407	0.5118980	0.0879651	0.7262977
35	0.3766466	0.0730343	0.1646684	0.9473204	0.4340105	0.8642918	0.4163222	0.0741210	0.3347117	0.4603177	0.3484390	0.3503393	0.6382443	0.1800857	0.9315274	0.1769746	0.2347064	0.0416710	0.8701959	0.8445873	0.9473516	0.7097012	0.4326405	0.8233527	0.5969780	0.6261630	0.3691249	0.1974108	0.4932112	0.1637377	0.5660743	0.0319870	0.9490509	0.0000647	0.9555172	0.0140217	1.0132956	0.0269451	0.0614593	0.0520885	0.7686302	0.8211426	0.6291848	0.9683906	0.7676692	0.1327595	0.5337881	0.4013367	0.9111934	0.8545613	0.0139534	0.2105466	0.9350853	0.9216509	0.8688446	0.7105044	0.0911417	0.2207776	0.2652200	0.4812792	0.6984001	0.4730045	0.0711199	0.7295720
40	0.3350178	0.0873800	0.1617990	0.9203053	0.3939309	0.8662248	0.4139810	0.0739448	0.3412035	0.4416791	0.3776984	0.3638153	0.6015991	0.1795947	0.9037774	0.1641706	0.2343791	0.0398888	0.9036856	0.8604919	0.9209289	0.7013642	0.4142706	0.7881683	0.5470503	0.6225757	0.3606080	0.2388661	0.4999931	0.1744994	0.5393267	0.0307540	0.9844481	0.0005458	0.9559199	0.0161313	1.0031112	0.0197525	0.0639952	0.0519440	0.7591896	0.8455712	0.6088207	0.9621959	0.7523807	0.1449789	0.5575634	0.4207785	0.9011422	0.8881227	0.0118403	0.2165191	0.9362486	0.9330331	0.8763948	0.7135048	0.1021468	0.2197326	0.2476807	0.4828357	0.6720334	0.4476289	0.0787487	0.7367786
45	0.2854807	0.0995058	0.1571773	0.9233211	0.3892346	0.8274450	0.4187010	0.0725052	0.3303010	0.4819421	0.3894090	0.3433984	0.5902884	0.1869666	0.9201946	0.1571175	0.2384074	0.0410605	0.8649998	0.8626957	0.9507397	0.7021009	0.4310885	0.8205119	0.5581404	0.6081612	0.3600422	0.2345357	0.4848524	0.1687623	0.5167834	0.0321653	1.0018106	0.0003019	0.9961504	0.0157427	0.9942714	0.0310439	0.0729273	0.0518929	0.7553369	0.8208171	0.5765150	0.9279061	0.7544742	0.1654345	0.5658635	0.4303835	0.8709648	0.8455460	0.0115503	0.2388388	0.9505668	0.9405344	0.8723485	0.7095785	0.1038303	0.2107290	0.2417233	0.4977686	0.6259631	0.4257384	0.1014592	0.7074131
50	0.2466440	0.1192965	0.1682589	0.9184142	0.3788582	0.8271613	0.4168560	0.0763802	0.3107731	0.4788334	0.3895552	0.3290373	0.5887118	0.1988422	0.8867226	0.1351159	0.2405344	0.0515783	0.8825641	0.8217061	0.9295519	0.6731741	0.4534580	0.8375511	0.5481440	0.5627528	0.3529794	0.2273083	0.4941706	0.1605318	0.5426302	0.0299772	0.9731307	0.0004515	1.0080138	0.0231409	0.9667636	0.0434793	0.0700355	0.0515685	0.8070060	0.7793535	0.6059942	0.9559267	0.7499245	0.1827012	0.5539737	0.4012602	0.9079966	0.8114554	0.0161557	0.2664991	0.9302737	0.9719406	0.8849244	0.7522584	0.1036231	0.2048835	0.2558750	0.4850296	0.6365196	0.4138653	0.1096945	0.6936629
55	0.2066000	0.1372642	0.1518541	0.9176842	0.3419828	0.8050285	0.4501394	0.0675991	0.3367152	0.5112685	0.4260914	0.3218081	0.5738802	0.1910673	0.8679558	0.1131099	0.2414155	0.0476320	0.8824013	0.8402109	0.9619833	0.6702360	0.4719610	0.7876071	0.5425608	0.5482263	0.3519432	0.2326238	0.4997984	0.1731040	0.5278524	0.0319376	0.9796893	0.0006373	0.9848890	0.0216395	0.9725497	0.0466819	0.0577298	0.0588006	0.7954172	0.7717015	0.6107469	0.9557148	0.7328350	0.1917634	0.5540196	0.3783314	0.8996429	0.7990198	0.0133513	0.2630037	0.9283331	0.9878598	0.8956236	0.7503701	0.1042423	0.2058995	0.2699673	0.4358801	0.6172149	0.4172629	0.1161445	0.6795485
60	0.1722581	0.1466890	0.1562355	0.9045452	0.3376832	0.7639108	0.4442957	0.0697549	0.3507197	0.5613428	0.4277972	0.3254376	0.5596906	0.2109381	0.8623722	0.1053453	0.2296231	0.0548459	0.7861030	0.8250058	0.9910196	0.6734410	0.4901254	0.7775809	0.5453144	0.5476372	0.3293129	0.2409390	0.5261036	0.1852516	0.5380865	0.0369206	0.9980225	0.0013994	1.0012359	0.0155432	0.9562222	0.0539623	0.0607528	0.0542137	0.7588966	0.8282344	0.5999701	0.9240440	0.6909020	0.2075642	0.5203842	0.3980638	0.9090186	0.8240662	0.0122876	0.2659747	0.9707854	0.9449107	0.8656721	0.7450358	0.1110527	0.2193937	0.2917160	0.4481641	0.6357751	0.3930260	0.1245098	0.6678443
65	0.1493840	0.1587254	0.1666444	0.8825380	0.3237507	0.7652098	0.4472554	0.0803675	0.3346547	0.5674687	0.4269526	0.3208453	0.5393483	0.2029603	0.8435887	0.1066570	0.2336228	0.0575213	0.7694420	0.8013250	0.9598584	0.6885161	0.4741973	0.7813826	0.5372033	0.5131582	0.3243609	0.2256601	0.5331542	0.1831437	0.5197333	0.0323453	0.9589753	0.0014965	0.9876010	0.0208907	0.9912195	0.0720581	0.0582669	0.0583791	0.7239582	0.8197785	0.6143798	0.9446433	0.6940645	0.2129797	0.5130660	0.4119491	0.9233082	0.8478909	0.0080829	0.2878056	0.9190339	0.9704711	0.8336093	0.7596359	0.1066139	0.2001340	0.2846880	0.4424388	0.6319985	0.4190685	0.1383946	0.6705207
70	0.1289469	0.1708944	0.1581580	0.8996521	0.2957980	0.6931885	0.4666518	0.0725003	0.3008591	0.5817437	0.4248484	0.3335425	0.5207409	0.2016488	0.8247368	0.0935683	0.2384460	0.0611173	0.7625484	0.8169638	0.9862969	0.7254536	0.4623454	0.7578472	0.5294578	0.4960157	0.3239930	0.2310952	0.5382170	0.1906561	0.5223573	0.0335924	0.9316361	0.0011168	1.0215126	0.0188037	0.9799202	0.0866531	0.0560740	0.0591998	0.7158614	0.8385016	0.6034676	0.9284737	0.7300333	0.2208504	0.5023845	0.4500410	0.9506396	0.8691300	0.0122280	0.3159632	0.9229197	0.9956484	0.7713704	0.7493956	0.1131872	0.2010295	0.2802654	0.4415497	0.6070218	0.4128368	0.1332088	0.6489470
75	0.1042137	0.1836523	0.1446492	0.8571796	0.2809303	0.7371892	0.4762396	0.0635685	0.3013063	0.5743127	0.4421203	0.3459219	0.5167809	0.2151569	0.8100791	0.0785783	0.2386439	0.0635418	0.7262791	0.8619245	0.9844242	0.6718858	0.4584599	0.7388370	0.5316506	0.4585490	0.3213663	0.2469374	0.5737434	0.1956334	0.4994303	0.0400839	0.9454085	0.0015660	1.0443772	0.0255074	0.9464617	0.0931707	0.0535770	0.0531961	0.7492542	0.8187539	0.5938520	0.9138760	0.7068265	0.2239302	0.5323122	0.4405282	0.9678054	0.8288454	0.0232423	0.3171955	0.9561102	0.9661897	0.7425342	0.7366368	0.1242986	0.2378380	0.2663174	0.4052859	0.5844394	0.3894993	0.1292419	0.6334058
80	0.0776475	0.2021619	0.1323391	0.8578877	0.2799825	0.7261079	0.4576525	0.0664518	0.2965979	0.5835493	0.4690111	0.3516295	0.5031595	0.2154124	0.7730513	0.0765298	0.2319969	0.0800525	0.6395785	0.8731907	1.0096289	0.6500522	0.4497802	0.7088961	0.5239871	0.4267444	0.3214719	0.2540715	0.5692923	0.1816610	0.4657101	0.0417711	0.9039416	0.0039517	1.0198136	0.0253678	0.9575434	0.1199752	0.0543069	0.0597686	0.7514027	0.8001747	0.5639144	0.9358372	0.7313395	0.2297630	0.5000524	0.4520385	0.9511546	0.8306188	0.0516332	0.3120768	0.9388036	1.0199675	0.8025086	0.7666261	0.1169319	0.2585912	0.2819885	0.4066129	0.5833603	0.4352224	0.1466024	0.6258561
85	0.0580085	0.2269431	0.1314496	0.8546449	0.2194001	0.7146740	0.4740353	0.0682338	0.2799965	0.5864070	0.5051778	0.3711955	0.4951028	0.2249438	0.7241029	0.0684738	0.2587359	0.0771031	0.6937338	0.8457933	1.0143465	0.6058763	0.4372372	0.7135054	0.5308331	0.4257540	0.2914051	0.2667544	0.5453936	0.1951072	0.4055473	0.0392749	0.9473497	0.0039174	1.0115459	0.0214013	0.9308460	0.1551304	0.0510134	0.0592878	0.7794725	0.8137613	0.5755671	0.9712328	0.7511530	0.2643451	0.4627286	0.4488513	0.9512342	0.8477152	0.0545495	0.3055291	0.9784588	0.9925183	0.8443634	0.7649344	0.1250316	0.2573276	0.2815973	0.3918559	0.5473568	0.4443350	0.1743810	0.6110520
