G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
0.0000000	0.5035889	0.0089270	0.3490336	0.0438169	0.2291807	0.5412851	0.0705554	0.0561770	0.7503762	0.4879430	0.4197767	0.5271781	0.9526119	0.3970444	0.0070110	0.0357378	1.0426455	0.4401225	0.3710588	1.0902367	0.0865311	0.5581329	0.0363207	0.6055440	0.4654554	0.2987424	0.5353996	0.4201582	0.4279831	0.0321869	0.2527634	0.1620036	0.2771900	0.5471854	0.0028638	0.0069765	0.5236220	0.4205888	0.0393265	0.8418015	0.5956375	0.4163569	0.0055956	0.0264925	0.9773711	0.4660393	0.4497756	1.0931015	0.8966054	0.3904664	0.5989521	0.9273087	1.0409627	0.9789653	0.9849213	0.3585093	0.6369550	0.2644825	0.2691163	0.4644250	0.4096632	0.3413433	0.4336370
0.9404142	0.0000000	0.1251029	1.0205838	0.4902771	0.9085299	0.3841004	0.1075756	0.3450911	0.4936727	0.3988621	0.3621214	0.6071739	0.1450535	1.0349542	0.1172777	0.2175398	0.0470257	0.9790776	0.8906653	1.0303542	0.7705948	0.4429735	0.8478856	0.6779324	0.6037002	0.4410646	0.2311141	0.3655520	0.3460809	0.7094653	0.0567600	1.0047829	0.0034250	1.0021651	0.0220978	1.0423615	0.0278919	0.0444026	0.0518536	0.8366854	0.7645254	0.6562293	1.0177072	0.7361453	0.1097108	0.5393187	0.3248267	0.9099807	0.8610501	0.0170611	0.1976831	0.8351180	0.9380457	0.8969707	0.7127854	0.0907241	0.2689149	0.2984631	0.5666846	0.6803830	0.4556770	0.0854284	0.6209884
1.0168410	0.0650956	0.0000000	0.8513551	0.4917933	0.7723496	0.4154536	0.0956381	0.3371083	0.4899398	0.4178270	0.3345938	0.5987675	0.1920599	0.9175083	0.1437676	0.2505148	0.0362217	0.8883874	0.8349082	0.9478935	0.5417396	0.4007181	0.8780273	0.6339289	0.5953487	0.4261256	0.1889457	0.4979252	0.2592169	0.5787564	0.0291671	1.0014109	0.0013198	0.9884083	0.0178235	1.0605788	0.0485801	0.0384311	0.0399546	0.7624097	0.8468857	0.6839078	1.0309073	0.6642846	0.2027842	0.3560030	0.3651492	0.8820742	0.8556290	0.0076180	0.2285000	0.8076804	0.9906720	0.9107774	0.7279478	0.1054994	0.2176866	0.2632211	0.4036170	0.6951803	0.3929002	0.0931327	0.7063918
1.0442572	0.4954899	0.9764823	0.0000000	0.4493520	0.8281685	0.3742096	0.1137256	0.3112415	0.6065006	0.4462069	0.3291877	0.6606954	0.1600884	0.8567865	0.0952335	0.2413691	0.0502227	0.9313679	0.9175336	1.0209943	0.5981143	0.4259588	0.8102581	0.5539054	0.4841547	0.3893461	0.1675781	0.4089321	0.2617754	0.6087371	0.0288142	0.9137203	0.0013690	0.9639115	0.0174486	1.0067351	0.0555866	0.0800423	0.0553934	0.9065538	0.7732225	0.6654039	0.9525364	0.7162108	0.1712198	0.4907123	0.3160314	0.9959718	0.7982327	0.0130474	0.2105236	0.8260644	0.9817802	0.8179643	0.7170697	0.0691924	0.2318432	0.2830360	0.4604293	0.6577749	0.4090538	0.0969779	0.7252966
1.1050613	0.0748862	0.1614310	0.8927060	0.0000000	0.5559361	0.5505322	1.0614741	0.4281551	0.5836554	0.4881298	0.4147305	0.8770559	0.0587260	0.9672760	0.0770906	0.2276623	0.0211374	0.9767159	0.8730003	1.0434578	0.6298249	0.4231438	0.8322555	0.5637068	0.5732930	0.4016648	0.1590271	0.4100183	0.2641769	0.7109620	0.0336184	0.9601115	0.0044277	1.0141879	0.0102280	1.0296291	0.0287363	0.0601004	0.0554031	0.9378914	0.7405772	0.7287773	1.0211879	0.7407308	0.1655461	0.4546336	0.3919230	0.8642001	0.8599184	0.0090785	0.1790666	0.8470819	1.0645300	0.9012866	0.6444674	0.0682872	0.2304570	0.2891970	0.4661658	0.7506826	0.4915784	0.0964597	0.5890967
1.0177755	0.0806854	0.1318077	1.0326177	0.4715055	0.0000000	0.3639529	0.0522357	0.3366108	0.5096483	0.3967308	0.3200734	0.6399316	0.1237409	0.9169879	0.1669058	0.1937567	0.0480840	0.9376368	0.7860493	1.0282070	0.6559493	0.4780878	0.8779055	0.5656860	0.6085294	0.3261640	0.2063261	0.4111340	0.2058655	0.6352701	0.0384002	1.0663994	0.0003931	0.9370099	0.0249914	1.0158494	0.0205850	0.0426263	0.0690831	0.7677243	0.8676118	0.6266361	0.9551839	0.7260019	0.1853724	0.4744237	0.2797670	0.9598670	0.8947710	0.0085943	0.2492606	0.8583782	1.0233637	0.8535412	0.6895414	0.0625822	0.1908829	0.2556927	0.4200728	0.7314094	0.4020451	0.1128104	0.5408613
1.0014138	0.0833136	0.1779078	0.8766739	0.4030339	0.8752234	0.0000000	0.1046722	0.3646831	0.4328462	0.4888645	0.2744392	0.5763482	0.1549272	1.0399623	0.1792009	0.1652623	0.0366325	0.9298486	0.8574982	0.9684836	0.6896185	0.3941847	0.8622118	0.5792411	0.5649457	0.3965774	0.1935711	0.4420846	0.2586097	0.6576963	0.0372958	0.9616890	0.0005191	0.9703078	0.0104178	0.9907192	0.0342802	0.0595966	0.0559515	0.9126513	0.7961763	0.6909971	1.0044146	0.6751291	0.1527860	0.4824714	0.4305129	0.9996388	0.9373457	0.0088683	0.2380335	0.8742004	0.9705561	0.8469100	0.6570944	0.0605366	0.2116038	0.2404375	0.4807405	0.7898749	0.3530788	0.1214850	0.5694206
1.0318799	0.0533412	0.1540000	0.8329228	0.5022202	0.9129010	0.4344827	0.0000000	0.3538559	0.3522746	0.3007619	0.4097028	0.6123779	0.1303525	0.9959825	0.1674565	0.1724308	0.0341254	0.9365740	0.8634200	0.9844110	0.7683286	0.4636911	0.8490730	0.6248190	0.6254207	0.3645322	0.2138449	0.3798803	0.2923451	0.6252510	0.0353720	0.9759641	0.0023990	0.9671512	0.0145815	0.9597319	0.0176063	0.0518116	0.0800011	0.7826680	0.7416902	0.6533285	0.9705870	0.7741339	0.1384284	0.5325110	0.2542088	0.9536437	0.8956668	0.0016771	0.1803055	0.9315617	1.0378921	0.7794562	0.6413203	0.0535295	0.1873170	0.2527359	0.4452761	0.7835794	0.4378864	0.1091367	0.6359511
1.0237070	0.0961053	0.1672671	0.9557243	0.5464474	0.8879794	0.4301999	0.0764528	0.0000000	0.7111862	0.3188447	0.3360302	0.5360810	0.1920726	0.9443291	0.1784940	0.1901989	0.0493824	1.0030803	0.8076915	0.9759876	0.7412475	0.4470509	0.7677991	0.6031970	0.5254592	0.4074827	0.2269461	0.4597456	0.1931492	0.5844981	0.0289583	1.0309090	0.0075522	1.0161039	0.0148296	0.9208528	0.0475463	0.0425670	0.0490278	0.9242558	0.8360952	0.6131921	0.9234720	0.8494730	0.1630848	0.5472579	0.2833166	0.9038387	0.8502103	0.0178054	0.2320356	0.8733202	1.0233109	0.8698058	0.7175871	0.0804464	0.2166073	0.3196727	0.4518586	0.6898906	0.4430050	0.0966671	0.6295840
1.0120779	0.0755280	0.1524267	0.9029700	0.4494753	0.9273428	0.4340457	0.1103399	0.3248241	0.0012850	0.6000266	0.0303096	0.5494161	0.1636377	0.9596916	0.1612299	0.2049959	0.0553838	0.8560739	0.8320987	0.9838248	0.6493778	0.4150685	0.8626841	0.6581022	0.6082527	0.3767091	0.1994574	0.4646403	0.3408255	0.6192458	0.0349510	1.0469343	0.0026572	0.9760144	0.0111725	1.0352811	0.0208878	0.0306266	0.0663704	0.7577198	0.8006002	0.6336603	1.0262920	0.7269561	0.1289432	0.4134888	0.3817338	0.8048088	0.9280647	0.0143465	0.2092888	0.9121699	0.9866601	0.9063531	0.6533199	0.0408330	0.1910764	0.2640924	0.4388893	0.6934412	0.4677806	0.0921756	0.6396570
