G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
0.0000000	0.5209690	0.0022490	0.3928701	0.0542630	0.1995792	0.6017610	0.0428981	0.0592518	0.7517061	0.5122948	0.4401826	0.5201900	0.9940606	0.3880039	0.0079740	0.0456169	1.0444464	0.4835731	0.4031337	1.0364331	0.0504113	0.6199863	0.0317158	0.6309708	0.4442000	0.3020652	0.5016134	0.3727456	0.4802116	0.0283466	0.2665573	0.1866545	0.2951350	0.5252389	0.0132942	0.0088300	0.5207344	0.4266330	0.0533390	0.8424366	0.6268940	0.3891523	0.0153689	0.0274456	1.0492040	0.4627895	0.4595082	1.0425817	0.8050704	0.4128895	0.6299518	0.8541740	1.0458289	1.0695167	1.0817514	0.4003863	0.5868641	0.2744261	0.2584071	0.5269946	0.4150738	0.3681543	0.5790140
1.0302439	0.0006397	0.1398921	1.0919374	0.5643039	0.9218301	0.3739833	0.1191389	0.3194679	0.5561063	0.3506615	0.3264099	0.5794421	0.1111563	1.0490243	0.1385254	0.2457321	0.0603934	0.8287455	0.8437183	1.0735449	0.7101580	0.4187552	0.7934021	0.5660099	0.6235084	0.4148775	0.2119289	0.3731613	0.3047914	0.6738512	0.0386372	1.0487472	0.0035490	1.0118652	0.0142433	1.1036820	0.0281706	0.0272248	0.0476220	0.8489434	0.8628100	0.7236658	1.0418193	0.8064117	0.1691917	0.5336069	0.3253446	0.8335131	0.7511394	0.0213489	0.1504985	0.8303740	1.0219153	0.9153668	0.7183562	0.0831568	0.2349078	0.3071372	0.4630343	0.6645375	0.4591079	0.1153532	0.6699042
0.9571363	0.0448739	0.0019341	0.9262534	0.4627348	0.7639466	0.4100431	0.0931434	0.2885715	0.4869300	0.3668650	0.2875891	0.6091990	0.1781137	0.9097499	0.1668519	0.2682514	0.0443304	0.9089243	0.9431967	0.9694692	0.5685343	0.3259400	0.8895254	0.6028966	0.5610030	0.4069752	0.1345513	0.5003616	0.2629016	0.5985036	0.0345750	0.9315425	0.0048983	1.0137595	0.0213678	1.0469510	0.0532189	0.0655098	0.0681608	0.7294538	0.7925921	0.6114677	1.0276800	0.6737219	0.1565922	0.4517359	0.3454385	0.8793171	0.8574141	0.0208161	0.1939352	0.8667508	0.9903486	0.9356727	0.6559084	0.0965071	0.2116426	0.2803850	0.4642345	0.7597379	0.4250474	0.1052592	0.7327748
0.9627675	0.4780669	0.9764415	0.0000000	0.4060379	0.8494306	0.4108721	0.0784602	0.2590630	0.5649778	0.4470256	0.3008026	0.6811208	0.1948110	0.8795313	0.0963946	0.2001482	0.0323310	0.8882905	0.9132217	1.0192437	0.5741162	0.4079086	0.7135521	0.5965347	0.5670090	0.4097167	0.1664448	0.4673609	0.3293417	0.5884383	0.0364399	0.9242631	0.0079119	1.0105425	0.0147822	0.9335833	0.0431798	0.0606533	0.0541609	0.8486363	0.7639139	0.7072845	0.8731790	0.7278722	0.1662039	0.5024218	0.3144519	1.0337011	0.9420994	0.0168928	0.2342350	0.8783776	0.9316561	0.8096399	0.7538979	0.0679431	0.2475423	0.2337766	0.4570773	0.7365369	0.4713231	0.1104956	0.6504357
0.9976367	0.0584635	0.1470790	0.9007341	0.0000000	0.6103449	0.5197884	1.0030561	0.4152975	0.5568163	0.4460248	0.3510391	0.9112781	0.0738305	1.0048627	0.0746048	0.2247218	0.0279385	1.0421316	0.8230386	0.9862680	0.6627100	0.4300154	0.8849234	0.5433785	0.5874437	0.3679695	0.1754210	0.4073991	0.2494311	0.6883621	0.0245832	0.9294207	0.0010026	0.9502433	0.0081880	0.9431105	0.0204816	0.0546133	0.0648637	0.8117503	0.7098647	0.6617185	1.0292202	0.7154374	0.1295447	0.4572233	0.3489201	0.8963658	0.8325060	0.0071530	0.1942302	0.9120520	1.0165208	0.8884535	0.7138219	0.0690841	0.1833805	0.3055641	0.4430473	0.7794997	0.4289923	0.0821069	0.6455047
1.0377756	0.0803461	0.1572018	1.0420508	0.4263541	0.0026344	0.4084190	0.0542279	0.3402111	0.5398431	0.3882599	0.3612051	0.6396364	0.1530527	0.8755351	0.1656071	0.2143638	0.0385282	0.9140124	0.8256053	1.0795059	0.6728132	0.4595262	0.8087612	0.5448425	0.6036047	0.2927642	0.2535030	0.4407531	0.1947950	0.6651729	0.0433979	1.0490315	0.0024882	0.8740496	0.0139145	0.9030513	0.0270537	0.0561359	0.0578125	0.7859843	0.7954707	0.6641652	0.9291783	0.7527514	0.2524959	0.4772386	0.2793819	0.9971029	0.8598099	0.0124646	0.2314715	0.8860134	1.0671950	0.7988816	0.7460531	0.0498101	0.2790986	0.2245106	0.4157629	0.7080833	0.3587431	0.1066714	0.5060820
1.0141195	0.1180520	0.1776115	0.9345454	0.5110464	0.8320733	0.0000000	0.0890211	0.3689341	0.4104155	0.4210888	0.2636656	0.6235636	0.1791906	1.0508557	0.1633859	0.2031247	0.0314039	0.9232647	0.8874113	1.0464175	0.7163128	0.3901061	0.8086061	0.5462744	0.6081417	0.4165895	0.1789495	0.4791424	0.2362134	0.6331250	0.0356873	1.0721343	0.0012959	0.9622170	0.0205385	1.0017474	0.0273834	0.0573157	0.0496201	0.9063215	0.8211661	0.6569271	1.0112498	0.6607184	0.1007480	0.4936841	0.4045080	0.9817364	0.9806648	0.0117171	0.2601968	0.9300732	1.0723074	0.7787789	0.6354245	0.0396449	0.1799627	0.2353029	0.5017816	0.8483300	0.3848448	0.0940508	0.5294216
1.1856103	0.0367575	0.1693534	0.8063131	0.5669639	0.9420946	0.4449492	0.0000000	0.3127550	0.4281988	0.2961070	0.3778799	0.6312777	0.1351836	0.9579390	0.1446747	0.1591417	0.0383424	0.9986849	0.8204841	0.9462101	0.7285313	0.4379853	0.8599339	0.5790275	0.5639186	0.3961046	0.2075764	0.4034904	0.2553870	0.6340110	0.0229262	1.0354823	0.0016580	0.9806178	0.0375630	1.0227958	0.0320066	0.0496041	0.0958610	0.6665568	0.7966540	0.6355108	0.8894512	0.7825299	0.1488215	0.4852932	0.3013578	1.0030279	0.9389816	0.0053173	0.1725419	0.8785456	1.0804506	0.8190142	0.6873374	0.0376712	0.1730305	0.2960311	0.4362179	0.7947610	0.4328152	0.0940979	0.6965057
0.9307884	0.0956443	0.1788177	0.8975707	0.5291194	0.8785303	0.5236251	0.0754643	0.0000000	0.7333019	0.3080218	0.3562578	0.5844347	0.2077901	0.9476173	0.1613615	0.2169275	0.0589798	0.9392602	0.7698045	0.9998640	0.7575496	0.4697641	0.8222175	0.5916524	0.6482422	0.3899854	0.2168557	0.5264986	0.2339356	0.5092263	0.0324096	0.9449463	0.0032389	1.0631083	0.0247327	0.9807877	0.0410671	0.0362413	0.0459886	0.8483411	0.9085476	0.5503337	0.8848464	0.8391400	0.1843173	0.4813478	0.2204829	0.9490916	0.9253838	0.0141166	0.2217826	0.9426422	0.9478376	0.7927543	0.7760375	0.0782420	0.2230575	0.2762913	0.4526563	0.7332105	0.4293130	0.0534817	0.6709587
0.9831498	0.0839957	0.1697176	0.8997618	0.5400328	0.8923169	0.4047583	0.1038189	0.3608205	0.0070738	0.6414121	0.0229323	0.6410408	0.1674864	0.8967192	0.2066559	0.2332515	0.0576043	0.9668033	0.9238278	1.0238302	0.6911092	0.4408840	0.9225495	0.5701154	0.5563761	0.4305449	0.1673573	0.4525919	0.2931716	0.6049038	0.0305407	1.0576909	0.0038117	0.9242423	0.0200571	1.0838069	0.0198057	0.0536377	0.0774293	0.7646615	0.7906643	0.5664741	1.1239948	0.7133364	0.1442693	0.5308546	0.3314154	0.8326016	0.8833861	0.0110945	0.2223166	0.8399496	0.9379632	0.8002199	0.6684424	0.0553227	0.2143289	0.2522834	0.4794531	0.6904516	0.5001424	0.0853003	0.6727810
