"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63

0	1.0000000	0.0694567	0.1562514	0.9070791	0.4655734	0.8492139	0.4038392	0.0958049	0.3222483	0.4945927	0.3888372	0.3360744	0.6005113	0.1584132	0.9490196	0.1430040	0.2067345	0.0393833	0.9168169	0.8402062	0.9997606	0.6672922	0.4339407	0.8394616	0.5963398	0.5600859	0.3929239	0.2075229	0.4348232	0.2457871	0.6094950	0.0337328	0.9769144	0.0009267	0.9839816	0.0149635	0.9988919	0.0278235	0.0390513	0.0545690	0.8118725	0.8006217	0.6529648	0.9905787	0.7218308	0.1773995	0.4582025	0.3079305	0.9071187	0.8678496	0.0080080	0.2015097	0.8625363	0.9936864	0.8722893	0.6927167	0.0683763	0.2127156	0.2636955	0.4539092	0.7247537	0.4269140	0.0935268	0.6365069
5	1.0000000	0.0694570	0.1824320	0.9070882	0.5623990	0.8492952	0.4038805	0.0957765	0.3222391	0.4944001	0.3885265	0.3539202	0.6004010	0.1584188	0.9490235	0.1429945	0.2067496	0.0393816	0.9168163	0.8402086	0.9997606	0.7188046	0.4339364	0.8394622	0.5963494	0.5273818	0.4292451	0.1817391	0.3974113	0.2195427	0.6095349	0.0337364	0.9282386	0.0009267	0.9859560	0.0149635	0.9989814	0.0278264	0.0390725	0.1071671	0.7987659	0.8262108	0.6530137	0.9905765	0.7218444	0.1774302	0.4582126	0.3080187	0.8711154	0.8678134	0.0072475	0.2014770	0.7523878	0.9936818	0.8871516	0.6308978	0.0684089	0.2126732	0.2377122	0.4539172	0.7517689	0.3633310	0.0742953	0.6365618
10	1.0000000	0.0694615	0.2051476	0.9070967	0.6364966	0.8497456	0.4041148	0.0956167	0.3222297	0.4941980	0.3881090	0.3697752	0.5998001	0.1584255	0.9490272	0.1429867	0.2068476	0.0393800	0.9168159	0.8402108	0.9997605	0.7621398	0.4339322	0.8394701	0.5964796	0.4991169	0.4619957	0.1593852	0.3635518	0.1975224	0.6098316	0.0337719	0.8859025	0.0009273	0.9876871	0.0149635	0.9990587	0.0278472	0.0392772	0.1556335	0.7874142	0.8483783	0.6533214	0.9905625	0.7219274	0.1774689	0.4583997	0.3081105	0.8386344	0.8676531	0.0066016	0.2013054	0.6577927	0.9936548	0.9001902	0.5752753	0.0685632	0.2123818	0.2143413	0.4539247	0.7745485	0.3121952	0.0591003	0.6366181
15	1.0000000	0.0694733	0.2248568	0.9071046	0.6932013	0.8507030	0.4046464	0.0952667	0.3222178	0.4939859	0.3875084	0.3838602	0.5984479	0.1584372	0.9490305	0.1429806	0.2070880	0.0393783	0.9168163	0.8402127	0.9997605	0.7985958	0.4339270	0.8394884	0.5968067	0.4745881	0.4914965	0.1400067	0.3329073	0.1792241	0.6105435	0.0338627	0.8490867	0.0009289	0.9892049	0.0149635	0.9991242	0.0278977	0.0398503	0.2002926	0.7775673	0.8675738	0.6540585	0.9905279	0.7221265	0.1775198	0.4588682	0.3082180	0.8093306	0.8672781	0.0060532	0.2009022	0.5765672	0.9935892	0.9116176	0.5252522	0.0689259	0.2116796	0.1933287	0.4539312	0.7934220	0.2713795	0.0470959	0.6367408
20	1.0000000	0.0694954	0.2419575	0.9071118	0.7365957	0.8521402	0.4055092	0.0947219	0.3221990	0.4937614	0.3866832	0.3963717	0.5962694	0.1584617	0.9490336	0.1429766	0.2075111	0.0393759	0.9168185	0.8402146	0.9997604	0.8292646	0.4339184	0.8395171	0.5973656	0.4532174	0.5180496	0.1232096	0.3051727	0.1641997	0.6117449	0.0340254	0.8170775	0.0009318	0.9905355	0.0149635	0.9991785	0.0279851	0.0410186	0.2414436	0.7690108	0.8841882	0.6553231	0.9904659	0.7224692	0.1775839	0.4596705	0.3083479	0.7828920	0.8666264	0.0055874	0.2002134	0.5068322	0.9934725	0.9216215	0.4802901	0.0695562	0.2104827	0.1744447	0.4539353	0.8087312	0.2391209	0.0376133	0.6370454
25	1.0000000	0.0695305	0.2567948	0.9071184	0.7698043	0.8539524	0.4066925	0.0940074	0.3221666	0.4935202	0.3856190	0.4074841	0.5933057	0.1585105	0.9490364	0.1429755	0.2081424	0.0393721	0.9168244	0.8402162	0.9997603	0.8550648	0.4339024	0.8395538	0.5981582	0.4345299	0.5419380	0.1086518	0.2800719	0.1520509	0.6134467	0.0342714	0.7892533	0.0009362	0.9917021	0.0149635	0.9992220	0.0281132	0.0430659	0.2793620	0.7615609	0.8985613	0.6571602	0.9903716	0.7229692	0.1776593	0.4608253	0.3085042	0.7590364	0.8656573	0.0051917	0.1992134	0.4469715	0.9932943	0.9303682	0.4399046	0.0704932	0.2087680	0.1574820	0.4539350	0.8208214	0.2139622	0.0301239	0.6376676
30	1.0000000	0.0695813	0.2696684	0.9071242	0.7952181	0.8560141	0.4081603	0.0931603	0.3221124	0.4932562	0.3843220	0.4173524	0.5896610	0.1585977	0.9490391	0.1429787	0.2089959	0.0393656	0.9168358	0.8402177	0.9997601	0.8767690	0.4338738	0.8395946	0.5991636	0.4181343	0.5634251	0.0960365	0.2573552	0.1424208	0.6156155	0.0346082	0.7650724	0.0009422	0.9927249	0.0149635	0.9992554	0.0282833	0.0463148	0.3143018	0.7550595	0.9109881	0.6595764	0.9902410	0.7236299	0.1777417	0.4623298	0.3086882	0.7375082	0.8643468	0.0048554	0.1978975	0.3955945	0.9930444	0.9380043	0.4036607	0.0717596	0.2065575	0.1422535	0.4539275	0.8300377	0.1947000	0.0242096	0.6387333
35	1.0000000	0.0696506	0.2808382	0.9071293	0.8146668	0.8582098	0.4098645	0.0922200	0.3220278	0.4929622	0.3828117	0.4261141	0.5854654	0.1587387	0.9490415	0.1429881	0.2100770	0.0393552	0.9168551	0.8402191	0.9997598	0.8950273	0.4338260	0.8396349	0.6003470	0.4037064	0.5827540	0.0851062	0.2367965	0.1349871	0.6181893	0.0350402	0.7440636	0.0009499	0.9936216	0.0149635	0.9992792	0.0284949	0.0510734	0.3464970	0.7493708	0.9217253	0.6625510	0.9900713	0.7244475	0.1778251	0.4641676	0.3089001	0.7180761	0.8626838	0.0045691	0.1962762	0.3515050	0.9927125	0.9446596	0.3711678	0.0733647	0.2039049	0.1285904	0.4539097	0.8367257	0.1803396	0.0195402	0.6403362
40	1.0000000	0.0697409	0.2905296	0.9071335	0.8295511	0.8604459	0.4117535	0.0912226	0.3219036	0.4926305	0.3811163	0.4338915	0.5808517	0.1589492	0.9490437	0.1430066	0.2113840	0.0393391	0.9168845	0.8402205	0.9997593	0.9103864	0.4337514	0.8396702	0.6016672	0.3909759	0.6001480	0.0756375	0.2181914	0.1294544	0.6210897	0.0355693	0.7258161	0.0009593	0.9944078	0.0149635	0.9992938	0.0287464	0.0575672	0.3761631	0.7443783	0.9309957	0.6660438	0.9898601	0.7254127	0.1779025	0.4663140	0.3091392	0.7005306	0.8606677	0.0043250	0.1943704	0.3136744	0.9922873	0.9504488	0.3420745	0.0753055	0.2008837	0.1163405	0.4538784	0.8412288	0.1700572	0.0158543	0.6425282
