"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63

0	1.0000000	0.0694567	0.1562514	0.9070791	0.4655734	0.8492139	0.4038392	0.0958049	0.3222483	0.4945927	0.3888372	0.3360744	0.6005113	0.1584132	0.9490196	0.1430040	0.2067345	0.0393833	0.9168169	0.8402062	0.9997606	0.6672922	0.4339407	0.8394616	0.5963398	0.5600859	0.3929239	0.2075229	0.4348232	0.2457871	0.6094950	0.0337328	0.9769144	0.0009267	0.9839816	0.0149635	0.9988919	0.0278235	0.0390513	0.0545690	0.8118725	0.8006217	0.6529648	0.9905787	0.7218308	0.1773995	0.4582025	0.3079305	0.9071187	0.8678496	0.0080080	0.2015097	0.8625363	0.9936864	0.8722893	0.6927167	0.0683763	0.2127156	0.2636955	0.4539092	0.7247537	0.4269140	0.0935268	0.6365069
5	0.8554280	0.0695366	0.1562429	0.9070463	0.4653524	0.8490749	0.4038818	0.0958032	0.3222009	0.4945003	0.3886441	0.3362231	0.6004071	0.1584414	0.9489823	0.1428763	0.2067340	0.0393958	0.9167395	0.8401425	0.9997607	0.6672218	0.4340394	0.8393878	0.5963238	0.5599603	0.3929149	0.2075723	0.4348331	0.2457719	0.6094473	0.0337307	0.9768971	0.0009274	0.9839816	0.0149635	0.9988908	0.0278448	0.0390399	0.0545531	0.8119153	0.8006214	0.6529434	0.9905716	0.7218189	0.1775294	0.4581853	0.3082254	0.9071476	0.8678367	0.0080221	0.2016038	0.8625599	0.9936875	0.8723296	0.6928122	0.0684095	0.2127668	0.2636881	0.4538897	0.7245877	0.4269252	0.0935125	0.6365061
10	0.7317570	0.0700468	0.1562340	0.9067815	0.4639814	0.8481938	0.4041410	0.0958008	0.3219491	0.4949353	0.3889708	0.3363598	0.5997997	0.1585923	0.9487154	0.1421411	0.2067326	0.0394867	0.9162786	0.8397288	0.9997614	0.6668094	0.4346872	0.8389301	0.5962929	0.5591815	0.3929058	0.2079343	0.4348698	0.2457802	0.6091914	0.0337295	0.9767844	0.0009325	0.9839816	0.0149635	0.9988842	0.0279832	0.0390256	0.0545384	0.8121851	0.8006189	0.6528086	0.9905261	0.7217419	0.1781983	0.4582049	0.3095842	0.9073625	0.8678248	0.0081153	0.2022302	0.8628850	0.9936968	0.8725362	0.6933811	0.0685679	0.2130689	0.2636841	0.4537234	0.7236721	0.4269356	0.0935709	0.6361892
15	0.6259655	0.0713142	0.1562250	0.9060926	0.4607857	0.8460870	0.4047911	0.0957984	0.3213452	0.4962925	0.3901813	0.3364905	0.5982778	0.1589601	0.9480202	0.1404246	0.2067297	0.0397204	0.9151781	0.8387245	0.9997630	0.6658182	0.4362784	0.8378245	0.5962371	0.5572697	0.3928978	0.2088305	0.4349579	0.2458273	0.6085525	0.0337302	0.9765031	0.0009455	0.9839815	0.0149635	0.9988677	0.0283295	0.0390063	0.0545249	0.8128377	0.8006122	0.6524695	0.9904132	0.7215528	0.1797920	0.4582793	0.3126501	0.9078870	0.8678147	0.0083546	0.2037649	0.8637164	0.9937199	0.8730325	0.6947701	0.0689443	0.2138174	0.2636847	0.4533044	0.7214599	0.4269431	0.0937560	0.6353298
20	0.5354684	0.0736069	0.1562179	0.9048048	0.4554378	0.8424774	0.4059817	0.0957992	0.3202860	0.4988552	0.3925177	0.3366243	0.5954861	0.1596231	0.9467013	0.1375471	0.2067248	0.0401574	0.9131987	0.8369768	0.9997658	0.6640882	0.4390891	0.8358945	0.5961508	0.5538671	0.3928934	0.2104147	0.4351236	0.2459242	0.6073541	0.0337340	0.9759931	0.0009697	0.9839812	0.0149635	0.9988373	0.0289626	0.0389810	0.0545124	0.8139732	0.8005994	0.6518427	0.9902092	0.7212179	0.1825695	0.4584134	0.3177029	0.9087915	0.8678081	0.0088087	0.2064659	0.8651843	0.9937607	0.8739113	0.6972238	0.0696096	0.2151716	0.2636890	0.4525577	0.7175507	0.4269435	0.0941168	0.6337704
25	0.4580546	0.0771671	0.1562166	0.9027452	0.4478335	0.8372486	0.4078495	0.0958084	0.3186989	0.5028190	0.3961211	0.3367748	0.5911100	0.1606541	0.9445460	0.1334717	0.2067177	0.0408615	0.9100331	0.8343989	0.9997699	0.6615102	0.4433076	0.8330221	0.5960324	0.5486998	0.3928964	0.2127937	0.4353992	0.2460791	0.6053871	0.0337427	0.9751987	0.0010083	0.9839805	0.0149635	0.9987893	0.0299612	0.0389500	0.0545009	0.8156527	0.8005785	0.6508392	0.9898926	0.7207114	0.1866853	0.4586051	0.3247459	0.9101054	0.8678074	0.0095597	0.2105073	0.8673638	0.9938217	0.8752447	0.7009046	0.0706228	0.2172716	0.2636937	0.4514286	0.7116534	0.4269300	0.0947071	0.6314046
30	0.3918328	0.0822273	0.1562271	0.8997350	0.4380138	0.8304203	0.4105193	0.0958325	0.3165341	0.5082961	0.4010372	0.3369601	0.5848892	0.1621276	0.9413110	0.1282675	0.2067081	0.0419068	0.9052378	0.8309568	0.9997752	0.6580096	0.4490466	0.8291301	0.5958825	0.5415672	0.3929123	0.2160387	0.4358273	0.2462986	0.6023815	0.0337597	0.9740638	0.0010651	0.9839792	0.0149634	0.9987195	0.0314126	0.0389148	0.0544904	0.8179079	0.8005469	0.6493545	0.9894419	0.7200126	0.1921983	0.4588488	0.3335765	0.9118284	0.8678162	0.0107151	0.2159968	0.8702874	0.9939048	0.8770885	0.7059010	0.0720364	0.2202468	0.2636939	0.4498774	0.7035839	0.4268944	0.0955931	0.6281672
35	0.3351847	0.0890122	0.1562574	0.8955879	0.4261156	0.8221282	0.4140965	0.0958790	0.3137589	0.5153147	0.4072178	0.3372024	0.5766541	0.1641265	0.9367163	0.1220792	0.2066958	0.0433837	0.8981697	0.8266598	0.9997816	0.6535371	0.4563451	0.8241719	0.5957032	0.5323476	0.3929480	0.2201913	0.4364669	0.2465882	0.5979797	0.0337912	0.9725273	0.0011442	0.9839770	0.0149634	0.9986232	0.0334182	0.0388773	0.0544807	0.8207488	0.8005017	0.6472599	0.9888343	0.7191042	0.1990766	0.4591375	0.3438529	0.9139385	0.8678382	0.0124187	0.2229837	0.8739514	0.9940107	0.8794828	0.7122281	0.0739006	0.2242195	0.2636828	0.4478745	0.6932811	0.4268275	0.0968613	0.6240285
40	0.2867264	0.0977305	0.1563177	0.8901146	0.4123386	0.8126003	0.4186520	0.0959555	0.3103544	0.5238175	0.4145248	0.3375276	0.5663732	0.1667464	0.9304491	0.1151013	0.2066800	0.0454058	0.8879259	0.8215537	0.9997890	0.6480624	0.4651676	0.8181266	0.5954971	0.5210138	0.3930117	0.2252663	0.4374000	0.2469527	0.5917103	0.0338487	0.9705203	0.0012506	0.9839734	0.0149634	0.9984947	0.0360991	0.0388403	0.0544719	0.8241678	0.8004395	0.6443943	0.9880437	0.7179713	0.2072042	0.4594613	0.3551579	0.9163990	0.8678778	0.0148623	0.2314619	0.8783215	0.9941397	0.8824508	0.7198290	0.0762650	0.2293034	0.2636526	0.4453984	0.6808296	0.4267197	0.0986256	0.6189909
