G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
0.0000000	0.4787202	0.0151964	0.3253955	0.0395340	0.2094909	0.5684731	0.0540084	0.0542630	0.8112776	0.4931187	0.4570907	0.5368738	0.9849175	0.3886874	0.0032439	0.0370526	0.9999996	0.4775975	0.3392481	1.0000000	0.0562215	0.4980591	0.0288167	0.6104379	0.4408487	0.3425163	0.5349136	0.3454965	0.4417377	0.0238303	0.2638888	0.1917340	0.2901935	0.5250179	0.0149630	0.0068305	0.5843524	0.4070410	0.0543561	0.7637859	0.5591798	0.4313897	0.0070874	0.0133044	0.9999926	0.4553213	0.4858485	0.9999999	0.8757862	0.3436473	0.5430114	1.0000000	0.9999871	0.9999975	0.9251243	0.3460668	0.6017481	0.2705494	0.2424615	0.5238829	0.3992467	0.4119546	0.3912010
1.0000000	0.0000008	0.1514522	0.9288188	0.4657286	0.8492943	0.4039028	0.0957742	0.3220139	0.4865604	0.3851144	0.3332194	0.6002238	0.1586642	0.9490705	0.1432005	0.2067279	0.0393672	0.9168092	0.8402319	0.9997602	0.6672368	0.4338981	0.8394544	0.5961446	0.5601769	0.3925958	0.2073370	0.4348770	0.2455446	0.6093782	0.0337022	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389245	0.0543667	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780753	0.4580637	0.3076699	0.9070541	0.8676693	0.0080029	0.2014315	0.8619447	0.9936792	0.8724590	0.6928349	0.0685269	0.2126020	0.2635013	0.4540273	0.7243401	0.4270781	0.0930309	0.6374150
1.0000000	0.0691068	0.0000016	0.9073382	0.4657315	0.8492958	0.4039039	0.0957737	0.3220096	0.4868286	0.3853749	0.3331520	0.6002188	0.1586706	0.9490705	0.1432130	0.2067279	0.0393672	0.9168092	0.8402319	0.9997602	0.6672369	0.4338982	0.8394545	0.5961443	0.5601792	0.3925929	0.2073361	0.4348769	0.2455445	0.6093782	0.0337021	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389244	0.0543664	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780725	0.4580645	0.3076697	0.9070542	0.8676691	0.0080029	0.2014315	0.8619422	0.9936792	0.8724600	0.6928354	0.0685274	0.2125987	0.2635001	0.4540253	0.7243386	0.4270785	0.0930287	0.6374179
1.0000000	0.4943294	0.9879459	0.0000590	0.4657369	0.8492985	0.4039059	0.0957727	0.3220017	0.4875340	0.3855799	0.3335240	0.6002097	0.1586828	0.9490705	0.1432370	0.2067279	0.0393673	0.9168091	0.8402319	0.9997602	0.6672371	0.4338984	0.8394545	0.5961441	0.5601820	0.3925897	0.2073353	0.4348768	0.2455446	0.6093782	0.0337021	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389243	0.0543662	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780690	0.4580641	0.3076772	0.9070544	0.8676691	0.0080029	0.2014315	0.8619394	0.9936792	0.8724611	0.6928359	0.0685278	0.2125946	0.2634990	0.4540215	0.7243371	0.4270790	0.0930263	0.6374209
1.0000000	0.0694507	0.1561356	0.9072055	0.0000000	0.5625651	0.5107821	0.9945536	0.3999872	0.5345107	0.4390568	0.3779183	0.8946723	0.0768038	0.9491190	0.0479510	0.2067279	0.0393673	0.9168091	0.8402319	0.9997602	0.6672371	0.4338984	0.8394545	0.5961441	0.5601819	0.3925898	0.2073353	0.4348768	0.2455446	0.6093782	0.0337021	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389243	0.0543662	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780690	0.4580641	0.3076768	0.9070544	0.8676691	0.0080029	0.2014315	0.8619395	0.9936792	0.8724611	0.6928358	0.0685278	0.2125947	0.2634990	0.4540217	0.7243372	0.4270790	0.0930263	0.6374208
1.0000000	0.0694507	0.1561361	0.9072050	0.4657286	0.0000012	0.3943613	0.0540354	0.3220139	0.4865604	0.3851144	0.3332194	0.6002238	0.1586642	0.9490705	0.1432005	0.2067279	0.0393672	0.9168092	0.8402319	0.9997602	0.6672368	0.4338981	0.8394544	0.5961446	0.5601769	0.3925958	0.2073370	0.4348770	0.2455446	0.6093782	0.0337022	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389245	0.0543667	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780753	0.4580637	0.3076699	0.9070541	0.8676693	0.0080029	0.2014315	0.8619447	0.9936792	0.8724590	0.6928349	0.0685269	0.2126020	0.2635013	0.4540273	0.7243401	0.4270781	0.0930309	0.6374150
1.0000000	0.0694507	0.1561356	0.9072055	0.4657365	0.8268186	0.0000085	0.0957717	0.3220024	0.4875004	0.3856125	0.3334585	0.6002104	0.1586818	0.9490705	0.1432350	0.2067279	0.0393673	0.9168091	0.8402319	0.9997602	0.6672371	0.4338984	0.8394545	0.5961441	0.5601819	0.3925899	0.2073353	0.4348768	0.2455446	0.6093782	0.0337021	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389243	0.0543662	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780690	0.4580642	0.3076767	0.9070544	0.8676691	0.0080029	0.2014315	0.8619395	0.9936792	0.8724610	0.6928358	0.0685278	0.2125948	0.2634990	0.4540218	0.7243372	0.4270790	0.0930264	0.6374207
1.0000000	0.0694507	0.1561361	0.9072050	0.4657286	0.8474489	0.3883777	0.0000020	0.3220139	0.4865604	0.3851144	0.3332194	0.6002238	0.1586642	0.9490705	0.1432005	0.2067279	0.0393672	0.9168092	0.8402319	0.9997602	0.6672368	0.4338981	0.8394544	0.5961446	0.5601769	0.3925958	0.2073370	0.4348770	0.2455446	0.6093782	0.0337022	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389245	0.0543667	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780753	0.4580637	0.3076699	0.9070541	0.8676693	0.0080029	0.2014315	0.8619447	0.9936792	0.8724590	0.6928349	0.0685269	0.2126020	0.2635013	0.4540273	0.7243401	0.4270781	0.0930309	0.6374150
1.0000000	0.0694507	0.1561356	0.9072055	0.5394793	0.8634319	0.4160094	0.0899699	0.0000022	0.7447908	0.2726025	0.4000981	0.5612326	0.1828034	0.9490171	0.1685296	0.2067279	0.0393673	0.9168091	0.8402319	0.9997602	0.6672371	0.4338984	0.8394545	0.5961441	0.5601818	0.3925900	0.2073353	0.4348768	0.2455446	0.6093782	0.0337021	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389243	0.0543662	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780691	0.4580642	0.3076762	0.9070544	0.8676691	0.0080029	0.2014315	0.8619396	0.9936792	0.8724610	0.6928358	0.0685278	0.2125949	0.2634990	0.4540220	0.7243372	0.4270790	0.0930264	0.6374207
1.0000000	0.0694507	0.1561356	0.9072055	0.4657361	0.8492981	0.4039056	0.0957728	0.3220030	0.0000012	0.5662624	0.0230124	0.6002111	0.1586809	0.9490705	0.1432332	0.2067279	0.0393673	0.9168092	0.8402319	0.9997602	0.6672371	0.4338984	0.8394545	0.5961441	0.5601817	0.3925900	0.2073353	0.4348768	0.2455446	0.6093782	0.0337021	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389243	0.0543662	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780691	0.4580643	0.3076761	0.9070544	0.8676691	0.0080029	0.2014315	0.8619397	0.9936792	0.8724610	0.6928358	0.0685278	0.2125950	0.2634990	0.4540220	0.7243373	0.4270790	0.0930265	0.6374206
