"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63

0	1.0000000	0.0694693	0.1564635	0.9069681	0.4654883	0.8491848	0.4038008	0.0958231	0.3223262	0.4941772	0.3913498	0.3323422	0.6006775	0.1584233	0.9489910	0.1434153	0.2067258	0.0393996	0.9168361	0.8401802	0.9997620	0.6674161	0.4339784	0.8394875	0.5965149	0.5602347	0.3928670	0.2076041	0.4347083	0.2459464	0.6097024	0.0337574	0.9769028	0.0009273	0.9839620	0.0149751	0.9988732	0.0278430	0.0394109	0.0547831	0.8118788	0.8006188	0.6529666	0.9905589	0.7218256	0.1775277	0.4586442	0.3071887	0.9072119	0.8681217	0.0080213	0.2015370	0.8628435	0.9936843	0.8721838	0.6925567	0.0682671	0.2123856	0.2637405	0.4539296	0.7252041	0.4267293	0.0940397	0.6354615
5	0.9918608	0.0694702	0.1564406	0.9069836	0.4654916	0.8491837	0.4038053	0.0958210	0.3223127	0.4942093	0.3910601	0.3326590	0.6006568	0.1584232	0.9489948	0.1433645	0.2067266	0.0393971	0.9168314	0.8401818	0.9997619	0.6673998	0.4339762	0.8394827	0.5964931	0.5602135	0.3928733	0.2075957	0.4347224	0.2459158	0.6096790	0.0337534	0.9769036	0.0009272	0.9839639	0.0149740	0.9988750	0.0278413	0.0393687	0.0547504	0.8118795	0.8006192	0.6529653	0.9905608	0.7218260	0.1775173	0.4585967	0.3073697	0.9071996	0.8680934	0.0080204	0.2015363	0.8627996	0.9936845	0.8721989	0.6925745	0.0682838	0.2124133	0.2637339	0.4539274	0.7251560	0.4267522	0.0939926	0.6355744
10	0.9701979	0.0694989	0.1564191	0.9069769	0.4654089	0.8491136	0.4038214	0.0958189	0.3222810	0.4942511	0.3908062	0.3329613	0.6006042	0.1584331	0.9489705	0.1432744	0.2067272	0.0394038	0.9167979	0.8401445	0.9997618	0.6673603	0.4340383	0.8394529	0.5964713	0.5601469	0.3928777	0.2076105	0.4347374	0.2458899	0.6096436	0.0337498	0.9768981	0.0009277	0.9839656	0.0149730	0.9988763	0.0278485	0.0393299	0.0547202	0.8118987	0.8006193	0.6529512	0.9905600	0.7218191	0.1775523	0.4585541	0.3076783	0.9072048	0.8680668	0.0080243	0.2016263	0.8627842	0.9936852	0.8722265	0.6926193	0.0683106	0.2124516	0.2637273	0.4539174	0.7250650	0.4267737	0.0939513	0.6356604
15	0.9385504	0.0696154	0.1563990	0.9069019	0.4650715	0.8488354	0.4038755	0.0958167	0.3221925	0.4943706	0.3906628	0.3332495	0.6004475	0.1584730	0.9488574	0.1430566	0.2067276	0.0394389	0.9166777	0.8399901	0.9997618	0.6672469	0.4342949	0.8393450	0.5964469	0.5599344	0.3928805	0.2076968	0.4347579	0.2458737	0.6095660	0.0337467	0.9768730	0.0009301	0.9839672	0.0149722	0.9988763	0.0278828	0.0392937	0.0546924	0.8119746	0.8006189	0.6528978	0.9905511	0.7217903	0.1777176	0.4585208	0.3083943	0.9072611	0.8680417	0.0080436	0.2019822	0.8628522	0.9936874	0.8722946	0.6927513	0.0683703	0.2125280	0.2637215	0.4538809	0.7248351	0.4267937	0.0939244	0.6356757
20	0.8997750	0.0699041	0.1563801	0.9066924	0.4642740	0.8481759	0.4040056	0.0958146	0.3219959	0.4946604	0.3907297	0.3335247	0.6000818	0.1585707	0.9485685	0.1426023	0.2067276	0.0395293	0.9163913	0.8396202	0.9997621	0.6669926	0.4349136	0.8390891	0.5964170	0.5594394	0.3928823	0.2079192	0.4347908	0.2458735	0.6094010	0.0337444	0.9768095	0.0009362	0.9839686	0.0149714	0.9988741	0.0279704	0.0392590	0.0546668	0.8121567	0.8006173	0.6527674	0.9905265	0.7217205	0.1781260	0.4585021	0.3098329	0.9074108	0.8680183	0.0080945	0.2028154	0.8630740	0.9936924	0.8724414	0.6930529	0.0684941	0.2126821	0.2637167	0.4537927	0.7243343	0.4268118	0.0939242	0.6355610
25	0.8561632	0.0704669	0.1563627	0.9062666	0.4628109	0.8469589	0.4042591	0.0958133	0.3216349	0.4952269	0.3911161	0.3337886	0.5993781	0.1587601	0.9479939	0.1418032	0.2067270	0.0397085	0.9158371	0.8389332	0.9997627	0.6665229	0.4360730	0.8386071	0.5963783	0.5585046	0.3928837	0.2083499	0.4348458	0.2458964	0.6090883	0.0337434	0.9766848	0.0009480	0.9839698	0.0149706	0.9988683	0.0281436	0.0392251	0.0546432	0.8124986	0.8006138	0.6525142	0.9904772	0.7215888	0.1789016	0.4585026	0.3122697	0.9076972	0.8679969	0.0081989	0.2043375	0.8635242	0.9937019	0.8727104	0.6936175	0.0687174	0.2129620	0.2637133	0.4536236	0.7234105	0.4268270	0.0939666	0.6352493
30	0.8095394	0.0714197	0.1563477	0.9055286	0.4604975	0.8450277	0.4046907	0.0958140	0.3210525	0.4961805	0.3919298	0.3340445	0.5981905	0.1590794	0.9470002	0.1405655	0.2067257	0.0400163	0.9148816	0.8378350	0.9997637	0.6657616	0.4379464	0.8378190	0.5963283	0.5569636	0.3928860	0.2090628	0.4349357	0.2459493	0.6085487	0.0337445	0.9764725	0.0009679	0.9839707	0.0149700	0.9988573	0.0284406	0.0391913	0.0546215	0.8130526	0.8006073	0.6520831	0.9903927	0.7213741	0.1801660	0.4585259	0.3158976	0.9081591	0.8679781	0.0083856	0.2067402	0.8642743	0.9937175	0.8731477	0.6945419	0.0690788	0.2134228	0.2637107	0.4533429	0.7219032	0.4268375	0.0940712	0.6346719
35	0.7613430	0.0728901	0.1563363	0.9043698	0.4571820	0.8422605	0.4053607	0.0958185	0.3201942	0.4976281	0.3932660	0.3342968	0.5963657	0.1595721	0.9454287	0.1388185	0.2067235	0.0405005	0.9133432	0.8362461	0.9997652	0.6646340	0.4406887	0.8366469	0.5962645	0.5546506	0.3928911	0.2101298	0.4350780	0.2460390	0.6076788	0.0337491	0.9761432	0.0009986	0.9839715	0.0149694	0.9988393	0.0289060	0.0391572	0.0546014	0.8138668	0.8005968	0.6514079	0.9902614	0.7210555	0.1820277	0.4585750	0.3208083	0.9088283	0.8679627	0.0086930	0.2101844	0.8653876	0.9937409	0.8737998	0.6959182	0.0696183	0.2141252	0.2637079	0.4529195	0.7196557	0.4268406	0.0942627	0.6337623
40	0.7126970	0.0750153	0.1563308	0.9026696	0.4527499	0.8385812	0.4063318	0.0958294	0.3190098	0.4996652	0.3951996	0.3345515	0.5937554	0.1602870	0.9430931	0.1365194	0.2067202	0.0412190	0.9109709	0.8341060	0.9997673	0.6630698	0.4444261	0.8350178	0.5961853	0.5514103	0.3929014	0.2116175	0.4352962	0.2461720	0.6063422	0.0337597	0.9756635	0.0010434	0.9839718	0.0149688	0.9988122	0.0295925	0.0391226	0.0545830	0.8149832	0.8005809	0.6504085	0.9900704	0.7206130	0.1845729	0.4586512	0.3269911	0.9097278	0.8679520	0.0091719	0.2147930	0.8669156	0.9937734	0.8747110	0.6978279	0.0703775	0.2151347	0.2637026	0.4523228	0.7165271	0.4268328	0.0945729	0.6324597
