G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
0.0000001	0.4787199	0.0151978	0.3254130	0.0395340	0.2094934	0.5684758	0.0540084	0.0542645	0.8112296	0.4931191	0.4570867	0.5368501	0.9849199	0.3886913	0.0032472	0.0370598	0.9999991	0.4775972	0.3392517	1.0000000	0.0562221	0.4980805	0.0288554	0.6099244	0.4431570	0.3410936	0.5333613	0.3457826	0.4417379	0.0238305	0.2633496	0.1917389	0.2899426	0.5251798	0.0149630	0.0068500	0.5845232	0.4070328	0.0543562	0.7638535	0.5592541	0.4313869	0.0070919	0.0134180	0.9999559	0.4553059	0.4858485	0.9999998	0.8758089	0.3436441	0.5430113	1.0000000	0.9999870	0.9999975	0.9251227	0.3460723	0.6017140	0.2705493	0.2423921	0.5238790	0.3992471	0.4117931	0.3912379
1.0000000	0.0000808	0.1517708	0.9285473	0.4657240	0.8492927	0.4039001	0.0957751	0.3220187	0.4865328	0.3848035	0.3336707	0.6002331	0.1586550	0.9490704	0.1431817	0.2067280	0.0393672	0.9168092	0.8402319	0.9997602	0.6672367	0.4338980	0.8394544	0.5961457	0.5601722	0.3926023	0.2073392	0.4348770	0.2455448	0.6093788	0.0337022	0.9769205	0.0009259	0.9839822	0.0149635	0.9988918	0.0278181	0.0389252	0.0543673	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780761	0.4580598	0.3076739	0.9070540	0.8676708	0.0080029	0.2014315	0.8619492	0.9936793	0.8724571	0.6928329	0.0685260	0.2126131	0.2635037	0.4540296	0.7243466	0.4270768	0.0930417	0.6374048
1.0000000	0.0691071	0.0000783	0.9073361	0.4657283	0.8492947	0.4039020	0.0957743	0.3220130	0.4866375	0.3851095	0.3333994	0.6002253	0.1586641	0.9490705	0.1431993	0.2067280	0.0393672	0.9168092	0.8402319	0.9997602	0.6672368	0.4338982	0.8394544	0.5961448	0.5601763	0.3925966	0.2073374	0.4348770	0.2455446	0.6093784	0.0337022	0.9769206	0.0009259	0.9839822	0.0149635	0.9988918	0.0278181	0.0389247	0.0543667	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780744	0.4580626	0.3076699	0.9070541	0.8676698	0.0080029	0.2014315	0.8619446	0.9936792	0.8724589	0.6928343	0.0685269	0.2126062	0.2635014	0.4540275	0.7243422	0.4270779	0.0930347	0.6374125
1.0000000	0.4926582	0.9877384	0.0001172	0.4657363	0.8492983	0.4039055	0.0957728	0.3220024	0.4874360	0.3855985	0.3334189	0.6002110	0.1586814	0.9490705	0.1432340	0.2067279	0.0393673	0.9168092	0.8402319	0.9997602	0.6672371	0.4338984	0.8394545	0.5961441	0.5601817	0.3925900	0.2073353	0.4348768	0.2455446	0.6093782	0.0337021	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389243	0.0543662	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780692	0.4580642	0.3076768	0.9070544	0.8676691	0.0080029	0.2014315	0.8619396	0.9936792	0.8724610	0.6928358	0.0685278	0.2125955	0.2634990	0.4540221	0.7243373	0.4270790	0.0930267	0.6374206
1.0000000	0.0694507	0.1561356	0.9072055	0.0000005	0.5613013	0.5078144	0.9939655	0.3998629	0.5336843	0.4398369	0.3751672	0.8945367	0.0769006	0.9491189	0.0484118	0.2067279	0.0393673	0.9168092	0.8402319	0.9997602	0.6672371	0.4338984	0.8394545	0.5961441	0.5601816	0.3925902	0.2073354	0.4348769	0.2455446	0.6093782	0.0337021	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389243	0.0543662	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780693	0.4580643	0.3076764	0.9070544	0.8676691	0.0080029	0.2014315	0.8619397	0.9936792	0.8724609	0.6928357	0.0685278	0.2125959	0.2634990	0.4540224	0.7243375	0.4270790	0.0930269	0.6374203
1.0000000	0.0694508	0.1561371	0.9072045	0.4657240	0.0000521	0.3956203	0.0544730	0.3220187	0.4865328	0.3848035	0.3336707	0.6002331	0.1586550	0.9490704	0.1431817	0.2067280	0.0393672	0.9168092	0.8402319	0.9997602	0.6672367	0.4338980	0.8394544	0.5961457	0.5601722	0.3926023	0.2073392	0.4348770	0.2455448	0.6093788	0.0337022	0.9769205	0.0009259	0.9839822	0.0149635	0.9988918	0.0278181	0.0389252	0.0543673	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780761	0.4580598	0.3076739	0.9070540	0.8676708	0.0080029	0.2014315	0.8619492	0.9936793	0.8724571	0.6928329	0.0685260	0.2126131	0.2635037	0.4540296	0.7243466	0.4270768	0.0930417	0.6374048
1.0000000	0.0694507	0.1561356	0.9072055	0.4657356	0.8268184	0.0001097	0.0957719	0.3220033	0.4873520	0.3856031	0.3333545	0.6002121	0.1586800	0.9490705	0.1432310	0.2067279	0.0393673	0.9168092	0.8402319	0.9997602	0.6672371	0.4338984	0.8394545	0.5961441	0.5601815	0.3925903	0.2073354	0.4348769	0.2455446	0.6093782	0.0337021	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389243	0.0543662	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780694	0.4580643	0.3076761	0.9070544	0.8676691	0.0080029	0.2014315	0.8619398	0.9936792	0.8724609	0.6928357	0.0685278	0.2125961	0.2634991	0.4540226	0.7243375	0.4270789	0.0930270	0.6374202
1.0000000	0.0694508	0.1561371	0.9072045	0.4657240	0.8475078	0.3886892	0.0000782	0.3220187	0.4865328	0.3848035	0.3336707	0.6002331	0.1586550	0.9490704	0.1431817	0.2067280	0.0393672	0.9168092	0.8402319	0.9997602	0.6672367	0.4338980	0.8394544	0.5961457	0.5601722	0.3926023	0.2073392	0.4348770	0.2455448	0.6093788	0.0337022	0.9769205	0.0009259	0.9839822	0.0149635	0.9988918	0.0278181	0.0389252	0.0543673	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780761	0.4580598	0.3076739	0.9070540	0.8676708	0.0080029	0.2014315	0.8619492	0.9936793	0.8724571	0.6928329	0.0685260	0.2126131	0.2635037	0.4540296	0.7243466	0.4270768	0.0930417	0.6374048
1.0000000	0.0694507	0.1561356	0.9072055	0.5394785	0.8634248	0.4159867	0.0899723	0.0000069	0.7440830	0.2749095	0.3978139	0.5613436	0.1824840	0.9490201	0.1676383	0.2067279	0.0393673	0.9168092	0.8402319	0.9997602	0.6672370	0.4338984	0.8394545	0.5961441	0.5601813	0.3925905	0.2073355	0.4348769	0.2455446	0.6093782	0.0337021	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389243	0.0543662	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780696	0.4580643	0.3076755	0.9070543	0.8676691	0.0080029	0.2014315	0.8619399	0.9936792	0.8724608	0.6928357	0.0685277	0.2125966	0.2634991	0.4540229	0.7243377	0.4270789	0.0930273	0.6374200
1.0000000	0.0694507	0.1561356	0.9072055	0.4657350	0.8492977	0.4039050	0.0957730	0.3220041	0.0000607	0.5661655	0.0233638	0.6002132	0.1586787	0.9490705	0.1432284	0.2067279	0.0393673	0.9168092	0.8402319	0.9997602	0.6672370	0.4338984	0.8394545	0.5961441	0.5601812	0.3925906	0.2073355	0.4348769	0.2455446	0.6093782	0.0337021	0.9769206	0.0009259	0.9839823	0.0149635	0.9988918	0.0278181	0.0389243	0.0543662	0.8118710	0.8006234	0.6529568	0.9905795	0.7218336	0.1780697	0.4580643	0.3076754	0.9070543	0.8676691	0.0080029	0.2014315	0.8619400	0.9936792	0.8724608	0.6928357	0.0685277	0.2125967	0.2634992	0.4540230	0.7243378	0.4270789	0.0930274	0.6374199
