"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63

0	0.5853653	0.0462792	0.0872460	0.6528022	0.3731908	0.6137632	0.3069245	0.0951495	0.2234084	0.3696923	0.2798236	0.2834502	0.3983765	0.1793232	0.5898095	0.1009942	0.1427505	0.0349232	0.7136619	0.5160677	0.6138371	0.4728195	0.2979927	0.6225886	0.4117030	0.3613921	0.2733123	0.1318630	0.2878374	0.1577194	0.4574648	0.0307154	0.6390547	0.0003293	0.6004575	0.0210984	0.7447584	0.0253897	0.0306228	0.0219276	0.5606172	0.5604814	0.5021414	0.7318630	0.5181746	0.0738496	0.3734591	0.2198725	0.5575813	0.4858713	0.0090138	0.1421573	0.6431263	0.7746739	0.5478026	0.4682919	0.0677126	0.1405406	0.1933354	0.2705540	0.5269763	0.4002630	0.0711071	0.5288098
5	0.6161114	0.0580653	0.1072632	0.5362713	0.3830008	0.6777665	0.2449576	0.0763811	0.2167638	0.3536266	0.2029869	0.2717924	0.2722106	0.0833146	0.7343007	0.0767806	0.1057632	0.0152031	0.7116224	0.6688523	0.6714889	0.3736261	0.2711251	0.5070659	0.3343065	0.3521788	0.4571070	0.1246913	0.3222016	0.1244144	0.5218578	0.0514718	0.5522964	0.0001402	0.6919193	0.0035194	0.6539186	0.0456543	0.0492473	0.0554374	0.6503684	0.6220738	0.4908251	0.6664166	0.4909507	0.1013606	0.3356582	0.2132813	0.5516446	0.6970943	0.0087007	0.0989723	0.5651197	0.6382794	0.5229788	0.4833695	0.0664108	0.1733661	0.1483804	0.3322149	0.4981709	0.2693382	0.0739907	0.3938651
10	0.7451577	0.0560653	0.1227688	0.6209562	0.3855889	0.5599810	0.2392971	0.0428225	0.1902210	0.2975572	0.2448411	0.2106032	0.3912851	0.0891118	0.6060861	0.1073083	0.1636283	0.0459908	0.8056789	0.5149538	0.7712892	0.3905428	0.3715052	0.5073635	0.3099991	0.4316153	0.3630889	0.1384128	0.3231914	0.2455312	0.4552244	0.0201976	0.5941208	0.0028587	0.6977730	0.0034089	0.6550683	0.0470504	0.0528033	0.0698641	0.7043900	0.5540329	0.4474516	0.8010805	0.5395188	0.1337085	0.3238471	0.1741626	0.5642991	0.6273338	0.0019638	0.1071548	0.6321603	0.5709738	0.6931393	0.4359157	0.0407391	0.1231504	0.2362687	0.1971606	0.5312429	0.2438739	0.0592113	0.3433833
15	0.7187267	0.0518675	0.1591490	0.5109291	0.3682673	0.6606703	0.2671406	0.0576370	0.1979716	0.3187954	0.2094077	0.2501050	0.4489067	0.0968708	0.6149442	0.1126437	0.1707444	0.0566726	0.6738333	0.4939018	0.7603902	0.5005659	0.3632351	0.4672112	0.3934242	0.4025272	0.3423164	0.1190090	0.3004966	0.2094784	0.4181862	0.0452652	0.6012032	0.0000357	0.7421315	0.0062985	0.6025985	0.0378560	0.0522390	0.0393249	0.6273069	0.4831236	0.3853026	0.7538826	0.5578270	0.1081268	0.3835345	0.1955816	0.6592798	0.6372226	0.0053335	0.1236887	0.5572583	0.6941533	0.6950852	0.5678110	0.0631790	0.1706794	0.1570910	0.3112274	0.6281389	0.4041959	0.0686158	0.3504975
20	0.8051672	0.0660999	0.1469959	0.5830305	0.4798594	0.6485636	0.2150596	0.0454277	0.1910178	0.2580490	0.2843104	0.2478693	0.4060547	0.1159388	0.6407478	0.0840788	0.1578784	0.0295160	0.6310789	0.4737003	0.7455147	0.4413504	0.2925023	0.5890245	0.4181953	0.3835739	0.3551746	0.0889425	0.2746937	0.1911237	0.5427132	0.0164201	0.7557766	0.0079349	0.6117139	0.0120895	0.6620708	0.0427397	0.0433119	0.0790441	0.5035911	0.4834795	0.4544585	0.7972082	0.5857320	0.1470361	0.3478316	0.1519505	0.5756219	0.5774168	0.0033850	0.1285102	0.5137745	0.5997384	0.6127384	0.5087148	0.0678635	0.1236711	0.1686618	0.2878307	0.4626111	0.2857369	0.0348421	0.3346438
25	0.6141859	0.0707580	0.1195138	0.6553372	0.4146192	0.6625565	0.2660265	0.0589826	0.2099909	0.3283332	0.2262507	0.3324632	0.4753517	0.1197084	0.7000017	0.0805664	0.1393277	0.0473087	0.6755120	0.4859669	0.6525555	0.4853739	0.3670415	0.5855960	0.4135711	0.4109743	0.3135602	0.0894230	0.2319356	0.1316792	0.5475068	0.0265282	0.5841798	0.0022819	0.7324629	0.0070427	0.6040751	0.0497545	0.0697085	0.0734416	0.5156430	0.6169730	0.4892013	0.7963993	0.5842897	0.0985348	0.3449920	0.2280518	0.6100896	0.7228028	0.0183013	0.1340639	0.6242495	0.7489930	0.6088851	0.4781573	0.0531403	0.1582512	0.1460192	0.2616921	0.5309877	0.2425652	0.0644277	0.4251102
30	0.6974124	0.0434300	0.1478891	0.6554932	0.4190067	0.5816951	0.1864415	0.0493987	0.1798885	0.3806265	0.2556992	0.2607815	0.3950548	0.1101635	0.6404892	0.0952065	0.1584966	0.0285413	0.5702415	0.5103774	0.7817807	0.4789495	0.2840359	0.4806559	0.4879176	0.4039579	0.3394064	0.1437215	0.2414068	0.1128795	0.4029565	0.0321966	0.5363718	0.0030163	0.8351859	0.0072824	0.7041388	0.0347812	0.0514302	0.1231098	0.5271017	0.6572641	0.3733671	0.6323944	0.5157657	0.1097205	0.3336882	0.2395035	0.6264729	0.7990299	0.0069991	0.1363536	0.5193998	0.6096868	0.5456544	0.5056863	0.0420534	0.1032411	0.1257592	0.3160100	0.5307081	0.2397772	0.0589844	0.3824097
35	0.5654780	0.0222899	0.1957616	0.6030898	0.5971675	0.5047799	0.3146545	0.0423026	0.2478489	0.3144676	0.2767455	0.3542549	0.3605283	0.0971548	0.6911709	0.0957172	0.1397683	0.0293087	0.6958709	0.4903788	0.7921837	0.4849631	0.3073659	0.5496915	0.4343132	0.2985418	0.3199205	0.1190425	0.2549228	0.1299299	0.5151323	0.0247796	0.5535381	0.0026393	0.8196239	0.0105882	0.7237145	0.0187246	0.0485040	0.1377046	0.4766176	0.6360104	0.4432440	0.8092724	0.4470115	0.1757028	0.3044255	0.1948821	0.5954870	0.6100885	0.0032192	0.1130699	0.5039117	0.6483635	0.6634252	0.4322623	0.0505360	0.1276066	0.0773344	0.2653481	0.5364427	0.2951719	0.0474802	0.3840907
40	0.6730675	0.0511763	0.1525336	0.6087773	0.4712320	0.5968093	0.2415251	0.0460149	0.2698567	0.3476444	0.3342925	0.2519447	0.4611021	0.1105972	0.6329199	0.1146295	0.1882705	0.0330021	0.5878485	0.5618015	0.6225273	0.4512531	0.3641936	0.5919729	0.5068079	0.4164281	0.4037113	0.0747181	0.2525326	0.0862378	0.4516838	0.0280834	0.5552532	0.0019183	0.7299366	0.0064395	0.6278418	0.0244516	0.0573777	0.1058373	0.5000603	0.5998071	0.4527824	0.7232669	0.4943557	0.1661782	0.3374667	0.2374864	0.6541922	0.6908704	0.0102483	0.1336479	0.4415960	0.6526612	0.6660153	0.5342807	0.0728572	0.1674056	0.1011497	0.3535931	0.5713914	0.2115178	0.0406943	0.4023686
