"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63

0	0.5987996	0.0333409	0.1185056	0.6922318	0.2623893	0.6221207	0.2585373	0.0872889	0.1947696	0.3606211	0.2315440	0.2679270	0.3281721	0.0816694	0.7309809	0.1335696	0.1056652	0.0146936	0.6788521	0.5596290	0.6423985	0.4750217	0.2751361	0.4690138	0.3734394	0.4663735	0.3084851	0.1646091	0.2259910	0.1563188	0.4474250	0.0204238	0.5869592	0.0005061	0.6071551	0.0060672	0.7782113	0.0150385	0.0411489	0.1474887	0.4957623	0.6105230	0.4948862	0.5567523	0.4346916	0.1034836	0.3070838	0.1854793	0.5614370	0.5175758	0.0042273	0.1303639	0.7163881	0.7653130	0.6521354	0.4325976	0.0367524	0.1628666	0.1596335	0.3251837	0.4708672	0.3639052	0.0459158	0.4317947
5	0.7888132	0.0625970	0.1397714	0.6684505	0.3096402	0.5024909	0.2599919	0.0302893	0.2264294	0.3606258	0.1743415	0.2668199	0.4196049	0.1432108	0.7137806	0.0946123	0.1650504	0.0284460	0.5865426	0.5814489	0.6008378	0.4265108	0.3255458	0.5927345	0.3847059	0.3713235	0.2544854	0.1517427	0.3315200	0.1563566	0.4001131	0.0076127	0.5048027	0.0012278	0.6932278	0.0096693	0.8225091	0.0087289	0.0163150	0.0461492	0.4963853	0.6248344	0.4503977	0.5699121	0.5895751	0.0898009	0.2734671	0.3267696	0.6057156	0.6499657	0.0188684	0.1279918	0.5167780	0.6555195	0.6023397	0.4521117	0.0388841	0.1190691	0.1455296	0.3386287	0.5865108	0.3707662	0.0917298	0.5411549
10	0.7031086	0.0350272	0.1295694	0.6849663	0.3136876	0.5334270	0.2968973	0.0249457	0.2981913	0.2971952	0.1527966	0.2786652	0.4132209	0.1247051	0.6503296	0.1186907	0.1916916	0.0422318	0.6514012	0.4708993	0.7973068	0.4774320	0.3788235	0.6355603	0.4036970	0.3820805	0.3194096	0.1400421	0.3309432	0.1340570	0.4461409	0.0100507	0.5345290	0.0015270	0.5946125	0.0037260	0.7147557	0.0277494	0.0666842	0.0347833	0.6201703	0.5736551	0.4315107	0.5383824	0.5899713	0.0749739	0.3652043	0.3036661	0.5740141	0.6523435	0.0107245	0.1590071	0.6573830	0.7233877	0.5705295	0.3772072	0.0235524	0.2253080	0.1829398	0.3116986	0.5453291	0.3092337	0.0308012	0.4519320
15	0.6726926	0.0504800	0.1453608	0.6054262	0.3771604	0.5740791	0.2584754	0.0385378	0.2462996	0.3578070	0.2335642	0.2690612	0.3526243	0.1150062	0.5710372	0.1097608	0.1563323	0.0220935	0.5020089	0.6217917	0.6405393	0.4615794	0.3770365	0.5948933	0.3998487	0.3428800	0.2135255	0.1216599	0.3729255	0.2462386	0.3545522	0.0071962	0.6430049	0.0036921	0.6676763	0.0115923	0.7765641	0.0031978	0.0467528	0.0230090	0.5651706	0.7221151	0.5393205	0.7247761	0.5873247	0.0750218	0.3366392	0.2834571	0.4638106	0.7059480	0.0121740	0.1184845	0.5729489	0.5497539	0.5762481	0.4938289	0.0317869	0.1163340	0.1946209	0.3179528	0.4549216	0.3247740	0.1004761	0.5115020
20	0.6145707	0.0484983	0.1211722	0.6539015	0.3191267	0.5992978	0.2966853	0.0663746	0.2325203	0.2550137	0.2530929	0.2537776	0.4091598	0.0990553	0.5447552	0.1069007	0.1062964	0.0295876	0.6431197	0.6580624	0.7469502	0.4579001	0.3298135	0.6362223	0.4314593	0.4699816	0.2350934	0.1166828	0.3213090	0.1242702	0.4501273	0.0112230	0.6982704	0.0027225	0.6805190	0.0215754	0.6418490	0.0162620	0.0410183	0.0230415	0.5264041	0.6339720	0.4818296	0.6516702	0.5468852	0.1275180	0.3372885	0.3242198	0.5089435	0.5752032	0.0160186	0.1207746	0.5336695	0.6566444	0.6121204	0.4326013	0.0371802	0.1128375	0.1959512	0.3240459	0.5846778	0.2599652	0.0510152	0.4236611
25	0.6644293	0.0695107	0.0874636	0.6503592	0.2686296	0.5292057	0.2584350	0.0250848	0.2585690	0.3709068	0.2351399	0.2583287	0.4588188	0.1004065	0.5824157	0.1078476	0.1771891	0.0208224	0.5915242	0.5555149	0.7937723	0.5530028	0.3338945	0.6163265	0.3801173	0.4033555	0.2071227	0.1238460	0.5189313	0.1702491	0.4447735	0.0158725	0.6098845	0.0063909	0.6671413	0.0076701	0.5991778	0.0087663	0.0277364	0.0119487	0.4511770	0.6435884	0.5259238	0.5614873	0.5451571	0.1029378	0.3386503	0.3319173	0.6149504	0.7241399	0.0045255	0.1477211	0.5292816	0.6840864	0.6068988	0.3728881	0.0391503	0.1019825	0.1602198	0.3202958	0.4766766	0.3058375	0.0432604	0.5522963
30	0.6328577	0.0638871	0.0976236	0.5479762	0.3478697	0.5665314	0.2415511	0.0468788	0.2770371	0.3253336	0.2302082	0.2458670	0.3758741	0.0960013	0.5285803	0.1193308	0.1217201	0.0260576	0.5112524	0.6674941	0.8624258	0.4884444	0.3032751	0.5217720	0.4033513	0.4367348	0.2244550	0.1448057	0.4520039	0.1624220	0.3661116	0.0207005	0.5283416	0.0073331	0.6818780	0.0093704	0.8241609	0.0121407	0.0674078	0.0455714	0.5132703	0.5172397	0.5363195	0.6239381	0.5685158	0.0852919	0.3680454	0.3020258	0.5970860	0.5580833	0.0130295	0.1191077	0.5557311	0.6946974	0.6203787	0.4934471	0.0397778	0.1435075	0.1894250	0.3331479	0.4994072	0.3844362	0.0488688	0.4938410
35	0.5984050	0.0671033	0.0947293	0.7298525	0.2781182	0.4812401	0.2566810	0.0843666	0.3043345	0.3265637	0.2713894	0.2705734	0.3582783	0.1160302	0.6316042	0.1342077	0.1420364	0.0164476	0.6374363	0.5821321	0.6878891	0.5155997	0.3368768	0.5001042	0.2962500	0.3855006	0.2359722	0.0887109	0.3267556	0.1868904	0.4328515	0.0097666	0.5469111	0.0029477	0.5925612	0.0117427	0.6716780	0.0103714	0.0275149	0.0209653	0.5937408	0.5799923	0.4121404	0.5124633	0.6493176	0.1087261	0.3624751	0.2817105	0.5264352	0.6626436	0.0081577	0.1036328	0.5255374	0.6830934	0.7540808	0.4298202	0.0497493	0.1131936	0.1563455	0.3527608	0.5287931	0.3749930	0.0898324	0.4316468
40	0.4664886	0.0511330	0.0796903	0.7284551	0.3163753	0.5313132	0.2161320	0.0528992	0.3497532	0.3506611	0.2010343	0.2661843	0.4140506	0.0861042	0.6221449	0.1553813	0.2208714	0.0132777	0.6687184	0.5615020	0.7219980	0.4652475	0.4086267	0.5838713	0.3810284	0.4954132	0.2784673	0.1659441	0.3301395	0.1602856	0.4147855	0.0046323	0.5430290	0.0068097	0.7307011	0.0061887	0.7388245	0.0071942	0.0421073	0.0204124	0.4456198	0.5135177	0.4455784	0.7063994	0.5797355	0.0905676	0.3659568	0.3414009	0.5569497	0.5904262	0.0041891	0.1685071	0.6569026	0.6244447	0.6048035	0.4130260	0.0286940	0.1468236	0.1770018	0.2945548	0.5577673	0.3219316	0.0480420	0.4286447
45	0.4924873	0.0757400	0.1014019	0.6090230	0.2596057	0.5825540	0.2918397	0.0319677	0.2277195	0.3051970	0.2930259	0.3320036	0.4082788	0.0828779	0.6575467	0.1548902	0.1091341	0.0266502	0.6605195	0.5145671	0.7670333	0.4084139	0.3342656	0.5747164	0.4396040	0.4403647	0.3107595	0.1440662	0.3699610	0.2135728	0.3709097	0.0089597	0.6092617	0.0049767	0.6133647	0.0128743	0.7339625	0.0058798	0.0482875	0.0337156	0.5129406	0.6391753	0.3804978	0.5973597	0.5260466	0.0619283	0.3710701	0.2983370	0.5911951	0.5459811	0.0072633	0.1133947	0.7171699	0.6469705	0.5542531	0.4171734	0.0355552	0.1630145	0.2246090	0.2803288	0.5501230	0.2860942	0.0553640	0.4722319
50	0.6678992	0.0359389	0.1202030	0.6194937	0.3043957	0.5371548	0.2865081	0.0346958	0.2523379	0.3286566	0.3072683	0.2472413	0.3766694	0.1212851	0.5019749	0.0994071	0.1446419	0.0279017	0.7233762	0.5014007	0.6927855	0.4251374	0.3756184	0.5731730	0.3515524	0.3765275	0.2633817	0.1807700	0.3505092	0.1094579	0.3369971	0.0141237	0.5381545	0.0033635	0.6638686	0.0095730	0.5576101	0.0128694	0.0386068	0.0137927	0.6063848	0.6187486	0.3275720	0.7602497	0.4721269	0.0894502	0.3756864	0.3388661	0.5903256	0.5205360	0.0102292	0.1770128	0.6869579	0.6566872	0.6196088	0.4290819	0.0298188	0.1448694	0.1983924	0.3970346	0.5273953	0.3365639	0.0776091	0.4747852
55	0.3934107	0.0665393	0.1553555	0.6772316	0.2442275	0.5467047	0.3162164	0.0373335	0.2566464	0.3080066	0.2679898	0.2855657	0.3754127	0.1457079	0.6649905	0.1677331	0.1447538	0.0327520	0.6186066	0.3966035	0.7520219	0.4696464	0.2929823	0.5579214	0.3174562	0.4204833	0.2536184	0.1403033	0.3725022	0.1260107	0.2643389	0.0317776	0.6105240	0.0045269	0.7785769	0.0054641	0.6471872	0.0143886	0.0337088	0.0299817	0.4984202	0.5155866	0.4126668	0.6835213	0.4640655	0.0911532	0.3314141	0.2478000	0.5665427	0.6158433	0.0128183	0.1676887	0.6161497	0.6900096	0.5198507	0.4656342	0.0394859	0.1318607	0.1512910	0.3350440	0.5163434	0.3110032	0.0576341	0.5148893
60	0.3995977	0.0335972	0.0877106	0.7314233	0.2603267	0.5318909	0.2391363	0.0661400	0.2474734	0.3276884	0.2136168	0.2545579	0.3898397	0.1223001	0.5366003	0.1253656	0.1415318	0.0429485	0.6520600	0.5745174	0.6582339	0.5347346	0.3676545	0.5468829	0.4094623	0.3404751	0.2887826	0.1473161	0.3634514	0.1193124	0.3543709	0.0320950	0.6863599	0.0019079	0.7014632	0.0045271	0.6563774	0.0127972	0.0488705	0.0329866	0.6264004	0.4547970	0.4750487	0.6525272	0.5348407	0.0773881	0.3769684	0.2136225	0.6690832	0.5358391	0.0118019	0.1673424	0.6145530	0.8455354	0.6060783	0.4849234	0.0307238	0.1586712	0.1958749	0.3409244	0.4709134	0.3357183	0.0631684	0.4090011
65	0.3924888	0.0593251	0.1133918	0.7068402	0.2920026	0.6250377	0.3838553	0.0514901	0.2088246	0.3452172	0.2576683	0.2405918	0.3822477	0.1310638	0.4931572	0.1026802	0.1042476	0.0141965	0.6268815	0.5603505	0.7544429	0.5315926	0.3366212	0.5247327	0.3876886	0.4435306	0.2816732	0.1593097	0.3644905	0.1388697	0.3745501	0.0220431	0.5087949	0.0016364	0.6637868	0.0185192	0.6155151	0.0236171	0.0381254	0.0546138	0.5164355	0.6677123	0.3752213	0.7166562	0.4784176	0.0743377	0.4263326	0.3055530	0.5957033	0.5870414	0.0171390	0.2007767	0.6206061	0.8272804	0.4985986	0.5260468	0.0471840	0.1757021	0.1616130	0.3377953	0.4036471	0.3018232	0.0629391	0.3931331
70	0.4090005	0.1017163	0.1319974	0.6163695	0.2348130	0.5797110	0.2174055	0.0660086	0.2611335	0.3353860	0.2861731	0.3006089	0.3944518	0.1242146	0.5754384	0.1253890	0.1194870	0.0584556	0.5367602	0.5890000	0.6786538	0.5129287	0.3916063	0.4615719	0.3936383	0.3883941	0.3337433	0.1442347	0.3950489	0.1152232	0.3535564	0.0218752	0.5821345	0.0010323	0.6701217	0.0090208	0.6128440	0.0146060	0.0211734	0.0320038	0.6744045	0.5920087	0.3606874	0.5600044	0.4449449	0.1008877	0.3567014	0.2980832	0.5014864	0.5386392	0.0028799	0.2052410	0.6097184	0.7521306	0.4976138	0.4935132	0.0500255	0.1936129	0.1737494	0.3489512	0.4745581	0.2713289	0.0507344	0.4850419
75	0.3089929	0.0914578	0.1173270	0.6477643	0.2146228	0.5164477	0.3010237	0.0601884	0.2472112	0.3408602	0.2796750	0.2218007	0.3818538	0.1942303	0.5728237	0.1188642	0.1439702	0.0340722	0.5417780	0.4616490	0.7278847	0.5922511	0.2695259	0.4758748	0.3145856	0.3661777	0.2163016	0.1750297	0.3153991	0.1566975	0.3180811	0.0275556	0.5880661	0.0001105	0.6913939	0.0038318	0.6826954	0.0276865	0.0231955	0.0244968	0.5685470	0.6095556	0.3943325	0.7578074	0.4889143	0.0843912	0.3538746	0.3447626	0.6049950	0.5220424	0.0127483	0.2517987	0.5762923	0.8638800	0.4973618	0.4268175	0.0559143	0.1594244	0.1390388	0.3542034	0.4589115	0.3268808	0.0873297	0.4140889
80	0.2922316	0.0763050	0.0863990	0.5395185	0.3487152	0.5490672	0.3002111	0.0528435	0.2063022	0.3223052	0.2081545	0.2596853	0.3483546	0.1321099	0.4979657	0.1151118	0.1752199	0.0242931	0.5495997	0.5201156	0.7873758	0.5875384	0.3072950	0.4920040	0.3648843	0.4002176	0.2837782	0.1208510	0.3580931	0.0982970	0.4274688	0.0173521	0.5400862	0.0035137	0.6702861	0.0114147	0.6809903	0.0230674	0.0327142	0.0628649	0.5625413	0.5201088	0.4296363	0.5540623	0.5130367	0.1174045	0.3630435	0.2652865	0.6227251	0.4810647	0.0103881	0.2265727	0.6387350	0.7348279	0.5040146	0.3510843	0.0695424	0.1879926	0.2137972	0.2881182	0.5256661	0.3243518	0.0629047	0.4615448
85	0.3219859	0.0817637	0.0867518	0.6175213	0.2844662	0.5684675	0.2701302	0.0663123	0.2221258	0.2653001	0.2680900	0.2417356	0.3363651	0.1667233	0.5622636	0.1013931	0.2325146	0.0548136	0.6624410	0.5635089	0.7212027	0.4572216	0.3325766	0.4830853	0.3046415	0.3530477	0.2819312	0.1432816	0.3714536	0.1287448	0.3591709	0.0244887	0.6291442	0.0013273	0.7197439	0.0031251	0.6778100	0.0296046	0.0356310	0.0570827	0.5259507	0.5497193	0.3257958	0.7281726	0.5377299	0.0821522	0.3493713	0.3065064	0.5847600	0.5732605	0.0252640	0.2144379	0.6129008	0.6493874	0.5772834	0.4706732	0.0623319	0.1438960	0.2259615	0.2190885	0.4490214	0.2869867	0.1234926	0.3988227
90	0.3052281	0.0907473	0.1339137	0.6637508	0.2209425	0.5462335	0.2500266	0.0680288	0.2218030	0.3702703	0.1912891	0.2329060	0.3243643	0.1206461	0.5312052	0.0799093	0.1591614	0.0416700	0.5434708	0.5491485	0.7964789	0.5036452	0.3265726	0.4434110	0.3707705	0.3739875	0.2471945	0.1868135	0.3686260	0.1858295	0.2555478	0.0055866	0.4749947	0.0010858	0.6575922	0.0061606	0.6771973	0.0446955	0.0197723	0.0394865	0.4845234	0.5880925	0.3920926	0.6693501	0.4655918	0.1043642	0.3383524	0.3497046	0.6737952	0.4718489	0.0432356	0.2177747	0.6751885	0.7018382	0.6252893	0.4157647	0.0651429	0.1570256	0.2213393	0.2470943	0.4226326	0.2764847	0.0946787	0.4508159
95	0.2273070	0.1320505	0.0829138	0.7258573	0.2281297	0.5001769	0.3221145	0.0502207	0.2636049	0.3229404	0.2821049	0.2526089	0.3996777	0.1549157	0.4875774	0.0889124	0.1742042	0.0665263	0.5577843	0.5393630	0.7853136	0.4448399	0.2537355	0.4340305	0.3422018	0.2896500	0.2193900	0.1886743	0.3391856	0.0765505	0.3008721	0.0147717	0.5452667	0.0028950	0.6533272	0.0040917	0.6258822	0.0551467	0.0352586	0.0338873	0.5602833	0.6136221	0.3326951	0.6389083	0.4710627	0.1324730	0.3210087	0.2606374	0.5236263	0.5329876	0.0221663	0.1824611	0.5172374	0.7447758	0.6351197	0.5042887	0.0672394	0.1772354	0.2003329	0.3631301	0.4506557	0.3237661	0.1142490	0.4896888
100	0.2249652	0.0884708	0.1054741	0.6364062	0.1982081	0.4872719	0.2815362	0.0500563	0.2012365	0.3185483	0.2406817	0.2165832	0.4056290	0.1445694	0.5827845	0.1067101	0.1227621	0.0714005	0.5032325	0.6568169	0.7361438	0.4402398	0.3241117	0.4609347	0.3700815	0.2887202	0.1731037	0.2139891	0.4408940	0.1422781	0.3152354	0.0222293	0.7467111	0.0003085	0.7002154	0.0062891	0.6392994	0.0542705	0.0341189	0.0374396	0.4646998	0.6326326	0.3822122	0.6629915	0.4687062	0.1546595	0.3227666	0.3306279	0.7671639	0.5548379	0.0681577	0.2388896	0.5665559	0.8257547	0.6410239	0.5107859	0.0702768	0.2335705	0.2156557	0.2679117	0.4197916	0.3363088	0.1203570	0.4634975

0	0.6959475	0.0457908	0.0889151	0.7736602	0.2603906	0.5575364	0.2712382	0.0728830	0.2733613	0.2672681	0.2591302	0.2871026	0.4043454	0.0648511	0.7439173	0.0948682	0.1479736	0.0311451	0.6232454	0.5348331	0.6955488	0.4427241	0.3503320	0.5187645	0.4332453	0.3786132	0.2573651	0.1668546	0.2403919	0.1516089	0.3618203	0.0237479	0.6970334	0.0003236	0.5482834	0.0178317	0.6506610	0.0218842	0.0297779	0.0477044	0.5346991	0.5351194	0.4384651	0.6644707	0.4180375	0.1101590	0.3774679	0.2810604	0.6196568	0.5145549	0.0049774	0.1680175	0.7805596	0.6647965	0.5349012	0.4881199	0.0670563	0.1423442	0.1654868	0.3003652	0.5570810	0.2864346	0.0869716	0.4073185
5	0.5819316	0.0321711	0.0525070	0.6455994	0.3420806	0.5881614	0.2517099	0.0344223	0.2211094	0.3223458	0.2693013	0.3145215	0.3900113	0.0832211	0.8877930	0.1696744	0.1125145	0.0460145	0.6904870	0.5358681	0.7093083	0.3955299	0.2997463	0.5482236	0.4111147	0.3705386	0.2258913	0.1352275	0.3331271	0.1329283	0.4742035	0.0231248	0.7899084	0.0004824	0.6266960	0.0050147	0.6870080	0.0160319	0.0102962	0.0281388	0.4883768	0.5072759	0.4569412	0.6845476	0.4861727	0.0956403	0.2593095	0.2118164	0.5972963	0.6226171	0.0023505	0.1805916	0.5119095	0.6963978	0.5358615	0.3596152	0.0354528	0.1485441	0.1777033	0.3062220	0.5612782	0.2686559	0.0572037	0.5005698
10	0.6777666	0.0263143	0.0839230	0.6346275	0.3106324	0.5494769	0.2538231	0.0534182	0.2151924	0.3127348	0.2680028	0.2967113	0.4297374	0.0788415	0.7896345	0.0742078	0.1357643	0.0233959	0.5863044	0.5659092	0.6982347	0.4187060	0.2831237	0.5849596	0.4056638	0.3533965	0.2386355	0.2142603	0.3535829	0.1389970	0.5081604	0.0118902	0.8496035	0.0016256	0.7595611	0.0023220	0.6729458	0.0179899	0.0101490	0.0342321	0.5537720	0.5724898	0.4722049	0.6718391	0.4743241	0.0792208	0.2938529	0.3274932	0.6734356	0.5806825	0.0048240	0.1386137	0.6026397	0.6434004	0.5432787	0.4074979	0.0557809	0.1569273	0.1784525	0.2457861	0.4948975	0.2790321	0.0423585	0.4696586
