G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
0.0000000	0.3581737	0.0018718	0.2164492	0.0485102	0.1523020	0.4239619	0.0276831	0.0329024	0.6061878	0.2719291	0.2890994	0.3843218	0.5789734	0.2321852	0.0036743	0.0305670	0.6790455	0.2707404	0.2781439	0.7490840	0.0645457	0.4196217	0.0154620	0.5768283	0.3115559	0.2197985	0.3333803	0.2753149	0.2905257	0.0182076	0.1963878	0.1623231	0.2053351	0.3455882	0.0198121	0.0021020	0.3757965	0.2991436	0.0266063	0.6042252	0.3893461	0.2714065	0.0211092	0.0135927	0.7530873	0.3459661	0.3606321	0.7606771	0.5783844	0.3012872	0.6076426	0.5140035	0.7223039	0.7781850	0.6017372	0.2736174	0.3876702	0.1840549	0.1538088	0.3347704	0.3104092	0.3191694	0.3804661
0.8574342	0.0009238	0.0623567	0.7278241	0.3616145	0.6578734	0.2610723	0.0821154	0.1899058	0.4142742	0.2392718	0.2525580	0.4259938	0.0743612	0.6555704	0.1591313	0.1281801	0.0452050	0.6294491	0.6064292	0.7605547	0.5267965	0.3081289	0.5390619	0.3648531	0.4608354	0.2651735	0.1730349	0.2030107	0.2354600	0.4582484	0.0165753	0.7871468	0.0016842	0.6924939	0.0088647	0.6971079	0.0181350	0.0104147	0.0358815	0.5184403	0.6153982	0.5857776	0.8712208	0.5631875	0.1032851	0.4612996	0.2718246	0.5473944	0.5071690	0.0244766	0.0999962	0.5139093	0.6864121	0.6691707	0.6146196	0.0548719	0.1392341	0.1435607	0.2520526	0.4572479	0.3026914	0.0728907	0.4855280
0.5372728	0.0359675	0.0008818	0.7246478	0.3678249	0.5831053	0.3116962	0.0631810	0.1585441	0.2866108	0.2071157	0.2344617	0.4315124	0.1285510	0.5999441	0.0919856	0.1646082	0.0357990	0.6095540	0.6158453	0.6743858	0.4674995	0.2410450	0.6440323	0.3547876	0.3831570	0.2460017	0.0630324	0.2847649	0.1815123	0.4268370	0.0116994	0.6041642	0.0020874	0.7313383	0.0165233	0.6846515	0.0278572	0.0433996	0.0548251	0.4354238	0.4659651	0.3640489	0.6859065	0.4777729	0.0801050	0.3103715	0.1946636	0.5737168	0.5317341	0.0113851	0.1175198	0.6132370	0.6796045	0.7341603	0.4451196	0.0573905	0.1640436	0.1695095	0.3345915	0.5795253	0.2409768	0.1176746	0.4462864
0.6385236	0.2851194	0.6666020	0.0000000	0.3007790	0.5988080	0.2898105	0.0518048	0.1954858	0.3957788	0.3544400	0.2015146	0.3763141	0.1708831	0.5585406	0.0526322	0.1012641	0.0232883	0.5708840	0.6528688	0.7038677	0.4134559	0.2711885	0.5182994	0.3762529	0.2982638	0.3305198	0.0734438	0.3294636	0.2050340	0.3680789	0.0229414	0.7297749	0.0201220	0.6790525	0.0109329	0.6664738	0.0288600	0.0221515	0.0306658	0.6303085	0.4136364	0.4488233	0.6671579	0.4708419	0.1035644	0.3168502	0.2455565	0.6583384	0.6535565	0.0141040	0.1703373	0.6475499	0.5314064	0.5310312	0.4777707	0.0338419	0.1942795	0.1863041	0.3339777	0.4499421	0.2976045	0.0670808	0.4522627
0.6717194	0.0395644	0.0993584	0.5481762	0.0000000	0.3791652	0.3879701	0.6066975	0.2450143	0.4035716	0.3052928	0.2049829	0.6041496	0.0678482	0.6501807	0.0618813	0.1074408	0.0121480	0.7500811	0.5540588	0.6242166	0.4873881	0.2990411	0.6979330	0.3317340	0.3886431	0.2509135	0.1071596	0.3576840	0.2018624	0.4475664	0.0166502	0.6680460	0.0005686	0.6511799	0.0079890	0.6661371	0.0073822	0.0441558	0.0683913	0.5211660	0.4523530	0.3458676	0.7020195	0.4265370	0.0875676	0.3568692	0.2231534	0.7076380	0.5590495	0.0020663	0.1104140	0.6940355	0.6626856	0.6818861	0.5093242	0.0568298	0.1295849	0.1704519	0.2854055	0.5095040	0.2680063	0.0708844	0.3955035
0.6265978	0.0635150	0.0662853	0.7198687	0.2705427	0.0048461	0.2367417	0.0271478	0.1904441	0.3346736	0.2335682	0.2549853	0.4118214	0.0864805	0.4822893	0.1216160	0.1589339	0.0398162	0.5718076	0.5735946	0.8332346	0.5060954	0.2832274	0.5414169	0.3932897	0.4342912	0.1998991	0.2002966	0.3049838	0.1585720	0.4843901	0.0290672	0.7497551	0.0002483	0.6008005	0.0091890	0.7105003	0.0140846	0.0400473	0.0244016	0.5250171	0.5505464	0.5585295	0.6399814	0.5539914	0.1856403	0.2741325	0.1883369	0.5933317	0.6229018	0.0166121	0.1761249	0.5346098	0.7130994	0.4444349	0.5941262	0.0339221	0.2830388	0.1246710	0.2716555	0.4540376	0.2293071	0.0659105	0.3211267
0.6301730	0.0418553	0.1461654	0.6477881	0.4086249	0.6148132	0.0000000	0.0473003	0.2474896	0.2955378	0.2648314	0.1784042	0.3241438	0.1322211	0.7460530	0.1379499	0.1340535	0.0121541	0.6038417	0.6400308	0.7305191	0.5269893	0.1920439	0.5540035	0.3575840	0.3895398	0.2701841	0.1330239	0.3506250	0.1815243	0.3295844	0.0196417	0.7070290	0.0014209	0.5726828	0.0223859	0.7030061	0.0262881	0.0566406	0.0194165	0.5504667	0.5591493	0.4938565	0.6785542	0.5782184	0.0618939	0.3480920	0.2552270	0.5578704	0.6502054	0.0104354	0.2031778	0.6073656	0.8485392	0.5678868	0.4816215	0.0332310	0.1037854	0.1704578	0.3385596	0.5307777	0.2762754	0.0431304	0.3602105
0.8126428	0.0168301	0.1494975	0.4598134	0.3564583	0.6950977	0.3006557	0.0000000	0.2142698	0.3127114	0.1934362	0.2361545	0.4437063	0.1184699	0.7252037	0.1517797	0.0938631	0.0420128	0.7053842	0.6324557	0.5307173	0.4557228	0.2417351	0.6044536	0.3891248	0.4028652	0.2869315	0.0984393	0.2453381	0.1109470	0.4720166	0.0058104	0.7335824	0.0002268	0.5584526	0.0247853	0.6244432	0.0149097	0.0417380	0.0631859	0.4546330	0.5263600	0.4928515	0.4721302	0.4348762	0.1490855	0.2963886	0.2961130	0.6925274	0.6775259	0.0044281	0.1579528	0.5876857	0.8099986	0.5436140	0.4035668	0.0203217	0.1497041	0.2291630	0.3757362	0.5140268	0.2250643	0.0504597	0.4772145
0.4969325	0.0763904	0.1345590	0.5920325	0.3461589	0.6355952	0.3821166	0.0935476	0.0000000	0.5253675	0.2375189	0.2267979	0.3421687	0.1740630	0.5630951	0.1043948	0.1124656	0.0900431	0.6019982	0.5089707	0.7460971	0.4582311	0.3910603	0.5849572	0.3924166	0.4978626	0.2465401	0.1367582	0.3191878	0.1409336	0.3214986	0.0135321	0.6203019	0.0014253	0.6973896	0.0245818	0.6305391	0.0329682	0.0443728	0.0585602	0.5493334	0.6404841	0.4370050	0.6128586	0.6666192	0.1347149	0.4975242	0.1101956	0.6645471	0.6100240	0.0140728	0.1703719	0.6222102	0.6080215	0.5397059	0.4910537	0.1042487	0.1129826	0.1656653	0.2892211	0.4338489	0.2949581	0.0383109	0.4656373
0.6479829	0.0797030	0.0930982	0.6225413	0.3007931	0.5855771	0.2995984	0.1051007	0.1987549	0.0035535	0.4619111	0.0165352	0.4556021	0.0899557	0.6097475	0.1142327	0.1316537	0.0603878	0.6204826	0.6449605	0.7075560	0.5027981	0.2773270	0.5236102	0.3800852	0.4293277	0.2702942	0.1263494	0.2946160	0.1762360	0.4032751	0.0211136	0.6623603	0.0013589	0.6193142	0.0090045	0.5614362	0.0033267	0.0378017	0.0468657	0.4573298	0.4461686	0.4247523	0.7579216	0.5452241	0.0964718	0.4211277	0.1657188	0.5509839	0.6012494	0.0159849	0.1035086	0.5931565	0.5887093	0.5095353	0.4023491	0.0185104	0.1337036	0.2022395	0.2917879	0.4340154	0.2653133	0.0375950	0.4453678
0.6574117	0.0608679	0.1912261	0.5594587	0.3195490	0.4996981	0.2857075	0.0750153	0.1962263	0.0913443	0.0000000	0.0325849	0.4782734	0.1141643	0.7066876	0.0978432	0.1701874	0.0317481	0.5578187	0.5276525	0.7410430	0.4275068	0.3269055	0.6157875	0.4327542	0.4035704	0.2189058	0.1236041	0.2995627	0.1724307	0.5367940	0.0408687	0.6662294	0.0020285	0.7705641	0.0274610	0.6019494	0.0550047	0.0359913	0.0595858	0.5394404	0.4822541	0.4459991	0.6401021	0.4469730	0.1582913	0.2620053	0.2394854	0.6051365	0.7272963	0.0095048	0.1158248	0.6344231	0.6238237	0.6885127	0.5129826	0.0716483	0.1707466	0.2845727	0.3937181	0.5457658	0.3750453	0.0423124	0.4894447
0.6244268	0.0885026	0.0777420	0.7030126	0.3414883	0.5199908	0.3134731	0.0800879	0.2876904	0.3032100	0.3925344	0.0000000	0.4615371	0.0775811	0.5730936	0.0599456	0.1228658	0.0495729	0.6583038	0.5634148	0.6139785	0.4749421	0.2869709	0.5824059	0.5333436	0.4725161	0.3903308	0.1110445	0.3291034	0.1599020	0.3973237	0.0357152	0.7178195	0.0023011	0.5872665	0.0054549	0.7132602	0.0177627	0.0633215	0.0365361	0.4752604	0.4847271	0.4284777	0.6147303	0.5438103	0.1378518	0.3965472	0.1810580	0.6798578	0.5491590	0.0101498	0.1948277	0.6950179	0.6638756	0.7102869	0.4917280	0.0846749	0.1222473	0.2081790	0.3208779	0.4829356	0.3333365	0.0926432	0.3875333
0.7225013	0.0622284	0.0804204	0.5815134	0.4619351	0.6611697	0.2674213	0.0737140	0.0191395	0.3159947	0.2364472	0.2695148	0.0016773	0.3790544	0.4199207	0.7533728	0.1518840	0.0175722	0.6241893	0.5939415	0.7374959	0.4307657	0.2137092	0.5235183	0.3208602	0.3074747	0.2797245	0.1202933	0.3407649	0.1400510	0.4863194	0.0298255	0.6828215	0.0006232	0.7059164	0.0279164	0.5789337	0.0467073	0.0282129	0.0533463	0.5646829	0.5725147	0.3858311	0.6014913	0.4940923	0.1604206	0.2746443	0.2117481	0.6465215	0.6892269	0.0029234	0.0684861	0.5083459	0.6558618	0.4302394	0.4840906	0.0423107	0.1779991	0.1970327	0.2443562	0.5091621	0.3375843	0.0790416	0.5645876
0.6455926	0.0383547	0.1061397	0.6140978	0.2740364	0.6109102	0.2663084	0.0510503	0.2705704	0.3926603	0.3576552	0.3525481	0.5025272	0.0000000	0.5270626	0.0083882	0.1481560	0.0297721	0.6286788	0.5957778	0.8335399	0.5551582	0.2972348	0.5828318	0.3628440	0.4055587	0.2459135	0.1633917	0.3217035	0.1341617	0.3823200	0.0170712	0.6240006	0.0005732	0.7098819	0.0067077	0.6262760	0.0206225	0.0299575	0.0129863	0.5622472	0.5934283	0.3902832	0.6282885	0.4982689	0.1245463	0.2921113	0.2019810	0.6597338	0.5546986	0.0228057	0.1409745	0.6791772	0.7521539	0.5844847	0.5440179	0.0450999	0.1477462	0.2019385	0.2962565	0.5493174	0.2386748	0.0524391	0.3296629
0.6841185	0.0520625	0.1584140	0.4861884	0.2781449	0.5986643	0.1869261	0.0631546	0.1900974	0.3251385	0.2910098	0.2208979	0.3672337	0.4672938	0.0000000	0.2168252	0.1438359	0.0225846	0.6184969	0.5433886	0.7411285	0.4374254	0.3272745	0.4845298	0.3890183	0.3173151	0.3045632	0.1401037	0.2738804	0.1110764	0.4448177	0.0180045	0.5907398	0.0005950	0.7151888	0.0192971	0.6192419	0.0256449	0.0212174	0.0376538	0.4298722	0.5599080	0.4904957	0.5305145	0.5418739	0.1639812	0.3170347	0.2429308	0.6104721	0.6315337	0.0112496	0.1418297	0.6141922	0.7596234	0.6140164	0.5010282	0.0164049	0.1081376	0.1825587	0.2975837	0.5325299	0.2990128	0.0436963	0.5715934
